Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
AC009065.4	ENSG00000279473.1	4.600	0.000	2.485	9.45e-65
AC009120.6	ENSG00000259972.2	4.185	19.295	-1.969	1.74e-46
AC009133.21	ENSG00000275857.1	0.775	3.030	-1.183	5.41e-19
AC009948.5	ENSG00000223960.6	3.080	8.030	-1.146	2.12e-58
AC010761.9	ENSG00000265474.1	0.790	2.730	-1.059	4.10e-31
AC010976.2	ENSG00000231731.7	0.490	2.665	-1.298	3.75e-64
AC011290.5	ENSG00000236015.1	0.520	2.710	-1.287	1.92e-53
AC011558.5	ENSG00000279753.1	22.770	62.407	-1.415	4.42e-19
AC018462.3	ENSG00000242735.1	0.000	1.125	-1.087	9.12e-55
AC018766.4	ENSG00000267896.1	4.770	12.795	-1.257	4.14e-34
AC024560.3	ENSG00000214135.8	5.315	19.358	-1.689	6.11e-64
AC024937.6	ENSG00000231443.2	0.450	2.105	-1.098	8.80e-45
AC025165.8	ENSG00000224713.4	0.150	3.450	-1.952	9.15e-108
AC053503.12	ENSG00000280323.1	0.435	2.685	-1.361	6.24e-71
AC053503.6	ENSG00000234638.1	0.000	1.545	-1.348	2.26e-74
AC069213.1	ENSG00000224769.1	0.960	3.265	-1.122	4.31e-41
AC074289.1	ENSG00000225889.7	0.725	3.750	-1.461	1.92e-51
AC083843.1	ENSG00000259820.1	0.830	2.685	-1.010	2.61e-37
AC093110.3	ENSG00000238018.2	0.360	2.915	-1.525	2.96e-74
AC093495.4	ENSG00000228242.6	1.540	9.910	-2.103	8.85e-60
AC093642.3	ENSG00000237940.3	2.510	11.305	-1.810	2.80e-30
AC093838.4	ENSG00000152117.17	6.085	19.700	-1.547	1.50e-49
AC104667.3	ENSG00000234949.2	2.480	0.220	1.512	1.15e-88
AC108488.4	ENSG00000242282.6	2.655	8.155	-1.325	5.77e-66
AC113188.2	ENSG00000279535.1	1.470	4.145	-1.059	3.34e-34
AC114730.11	ENSG00000235351.1	0.510	4.015	-1.732	9.74e-65
AC116366.6	ENSG00000234290.2	0.380	1.980	-1.111	1.36e-68
AC131097.4	ENSG00000216921.7	1.160	3.425	-1.035	6.18e-21
AC132217.4	ENSG00000240801.1	4.725	18.520	-1.770	9.80e-38
AC138035.2	ENSG00000238035.8	1.960	11.579	-2.087	2.83e-66
AC144450.1	ENSG00000228613.1	1.245	0.115	1.010	5.97e-38
AC144530.1	ENSG00000234742.1	2.605	0.555	1.213	8.68e-67
AC156455.1	ENSG00000256546.1	0.920	3.370	-1.187	4.23e-83
AC159540.1	ENSG00000230606.10	11.335	32.309	-1.433	1.25e-15
AC239868.2	ENSG00000280874.1	152.921	50.436	1.581	1.56e-33
AC239868.3	ENSG00000281134.1	149.577	50.436	1.550	4.89e-31
ACACA	ENSG00000278540.4	66.641	32.209	1.026	2.84e-45
ACACB	ENSG00000076555.15	3.470	16.149	-1.940	9.69e-97
ACAD11	ENSG00000240303.7	6.860	25.709	-1.765	1.38e-61
ACADVL	ENSG00000072778.19	270.671	809.029	-1.576	6.99e-61
ACAP3	ENSG00000131584.18	11.300	54.955	-2.186	1.07e-62
ACCS	ENSG00000110455.13	12.135	28.140	-1.150	4.95e-22
ACHE	ENSG00000087085.13	2.665	6.379	-1.010	4.40e-23
ACIN1	ENSG00000100813.14	53.530	124.124	-1.198	8.92e-54
ACKR3	ENSG00000144476.5	4.255	12.765	-1.389	6.92e-45
ACLY	ENSG00000131473.16	104.803	39.539	1.384	1.23e-41
ACOT11	ENSG00000162390.17	1.020	3.765	-1.238	9.94e-81
ACOX2	ENSG00000168306.12	4.255	24.709	-2.291	1.83e-103
ACSF2	ENSG00000167107.12	10.075	57.110	-2.391	5.06e-83
ACSL3	ENSG00000123983.13	138.246	49.545	1.462	1.26e-34
ACSM1	ENSG00000166743.9	35.330	3.085	3.153	7.02e-48
ACSM3	ENSG00000005187.11	49.571	24.045	1.014	5.76e-18
ACSS3	ENSG00000111058.7	1.980	5.685	-1.166	7.07e-51
ACTA1	ENSG00000143632.14	0.575	5.770	-2.104	2.69e-17
ACTA2	ENSG00000107796.12	849.664	1813.737	-1.093	1.98e-24
ACTA2-AS1	ENSG00000180139.11	2.225	41.336	-3.715	1.26e-115
ACTC1	ENSG00000159251.6	4.125	15.980	-1.728	1.64e-24
ACTG2	ENSG00000163017.13	644.371	1707.890	-1.405	2.81e-25
ACVRL1	ENSG00000139567.12	4.725	15.320	-1.511	4.01e-73
ADA	ENSG00000196839.12	1.750	4.710	-1.054	2.60e-64
ADAM10	ENSG00000137845.14	37.919	18.050	1.031	1.20e-6
ADAM19	ENSG00000135074.15	1.170	4.105	-1.234	2.09e-63
ADAM28	ENSG00000042980.12	1.995	5.960	-1.217	3.68e-33
ADAM33	ENSG00000149451.17	2.985	85.381	-4.438	1.40e-116
ADAMTS1	ENSG00000154734.14	16.050	46.985	-1.493	2.69e-29
ADAMTS10	ENSG00000142303.13	2.480	22.685	-2.767	5.21e-92
ADAMTS2	ENSG00000087116.13	2.115	5.615	-1.087	1.64e-27
ADAMTS4	ENSG00000158859.9	1.055	4.630	-1.454	9.37e-23
ADAMTS8	ENSG00000134917.9	1.790	4.750	-1.043	1.08e-49
ADAMTS9	ENSG00000163638.13	3.170	11.820	-1.620	3.39e-64
ADAMTS9-AS1	ENSG00000241158.5	1.655	13.409	-2.440	6.25e-93
ADAMTS9-AS2	ENSG00000241684.5	0.640	3.710	-1.522	3.13e-112
ADAMTSL4	ENSG00000143382.13	1.740	10.514	-2.071	1.14e-86
ADAMTSL5	ENSG00000185761.10	0.850	3.380	-1.243	1.10e-80
ADAT2	ENSG00000189007.15	2.655	6.325	-1.003	8.79e-24
ADCY10P1	ENSG00000161912.17	1.050	3.190	-1.031	5.81e-29
ADCY3	ENSG00000138031.14	12.110	41.620	-1.701	6.48e-78
ADCY4	ENSG00000129467.13	3.355	30.219	-2.842	1.25e-82
ADCY5	ENSG00000173175.14	4.875	18.964	-1.765	9.19e-65
ADD3	ENSG00000148700.13	13.845	30.070	-1.066	2.54e-28
ADGRA2	ENSG00000020181.17	16.410	43.705	-1.361	1.09e-37
ADGRB1	ENSG00000181790.10	0.390	1.985	-1.103	5.67e-45
ADGRB2	ENSG00000121753.12	1.580	4.190	-1.008	1.79e-50
ADGRD1	ENSG00000111452.12	1.475	8.110	-1.880	1.16e-68
ADH1B	ENSG00000196616.12	0.995	7.710	-2.126	8.90e-76
ADHFE1	ENSG00000147576.15	11.970	32.594	-1.373	7.39e-44
ADIRF-AS1	ENSG00000272734.1	1.690	14.329	-2.511	3.74e-100
ADM2	ENSG00000128165.8	9.225	2.820	1.420	5.47e-64
ADM5	ENSG00000224420.3	0.710	2.670	-1.102	2.20e-53
ADPRHL1	ENSG00000153531.12	5.180	1.555	1.274	7.74e-33
ADRA1A	ENSG00000120907.17	0.975	3.715	-1.255	1.51e-41
ADRA1D	ENSG00000171873.7	0.470	2.405	-1.212	4.90e-47
ADRA2C	ENSG00000184160.7	2.905	10.040	-1.499	1.04e-48
ADRB1	ENSG00000043591.5	12.565	4.055	1.424	6.64e-53
ADRB2	ENSG00000169252.5	8.740	3.240	1.200	1.28e-40
AEBP1	ENSG00000106624.8	77.058	179.103	-1.206	7.88e-22
AF001548.3	ENSG00000280429.1	0.050	1.185	-1.057	2.55e-101
AF011889.2	ENSG00000238039.1	0.650	3.174	-1.339	2.46e-36
AF131217.1	ENSG00000232855.6	0.955	2.930	-1.007	2.70e-30
AFAP1L2	ENSG00000169129.14	4.520	13.850	-1.428	3.41e-64
AFG3L1P	ENSG00000223959.8	5.540	22.330	-1.835	4.29e-71
AGA	ENSG00000038002.8	18.790	8.665	1.034	2.12e-30
AGAP11	ENSG00000271880.1	0.810	5.810	-1.912	7.78e-82
AGAP4	ENSG00000188234.13	7.125	18.665	-1.275	5.94e-35
AGAP5	ENSG00000172650.12	1.970	6.865	-1.405	5.23e-51
AGAP6	ENSG00000204149.9	5.330	25.069	-2.042	3.85e-50
AGAP9	ENSG00000204172.11	3.175	11.349	-1.565	9.69e-44
AGER	ENSG00000204305.13	2.150	14.138	-2.265	1.48e-64
AGPAT4	ENSG00000026652.13	0.740	2.800	-1.127	4.84e-88
AGR2	ENSG00000106541.11	378.840	85.505	2.135	6.43e-30
AGR3	ENSG00000173467.8	5.555	1.060	1.670	1.58e-20
AHDC1	ENSG00000126705.13	4.165	11.265	-1.248	1.42e-77
AHI1	ENSG00000135541.20	9.770	20.642	-1.007	2.12e-51
AHNAK2	ENSG00000185567.6	4.585	14.525	-1.475	2.28e-45
AHSA2	ENSG00000173209.22	17.525	89.728	-2.292	2.41e-40
AIFM2	ENSG00000042286.14	3.690	9.850	-1.210	1.43e-89
AIM1	ENSG00000112297.14	28.894	13.365	1.057	1.32e-28
AJUBA	ENSG00000129474.15	3.740	9.995	-1.214	1.07e-49
AKAP12	ENSG00000131016.16	6.780	18.670	-1.338	5.37e-36
AKAP17A	ENSG00000197976.10	20.140	54.294	-1.387	1.68e-51
AKAP8L	ENSG00000011243.17	37.050	117.943	-1.644	5.41e-63
AKR1B1	ENSG00000085662.13	18.180	42.956	-1.196	3.28e-50
AKR1C1	ENSG00000187134.12	3.430	12.465	-1.604	2.60e-44
AKR1C2	ENSG00000151632.16	1.710	6.899	-1.543	6.81e-50
AL158801.1	ENSG00000279392.1	3.455	0.460	1.609	3.80e-48
ALCAM	ENSG00000170017.12	52.965	24.840	1.062	1.73e-42
ALDH1A2	ENSG00000128918.14	7.930	26.930	-1.645	1.52e-52
ALDH1A3	ENSG00000184254.16	222.582	95.849	1.207	1.78e-30
ALDH3B2	ENSG00000132746.14	11.345	2.610	1.774	6.59e-31
ALDH6A1	ENSG00000119711.12	29.280	13.699	1.043	1.63e-27
ALG14	ENSG00000172339.9	5.390	2.145	1.023	3.47e-48
ALOX12P2	ENSG00000262943.7	0.765	5.365	-1.850	3.82e-52
ALPK1	ENSG00000073331.17	3.170	8.575	-1.199	1.71e-68
ALS2CL	ENSG00000178038.16	1.895	12.729	-2.246	2.81e-82
AMACR	ENSG00000242110.7	226.104	7.820	4.686	6.88e-103
AMIGO2	ENSG00000139211.6	3.435	8.079	-1.034	2.42e-29
AMPD2	ENSG00000116337.15	20.685	49.468	-1.219	8.07e-60
AMT	ENSG00000145020.14	8.985	41.220	-2.080	2.97e-83
AMY2B	ENSG00000240038.6	3.360	30.194	-2.839	3.01e-61
ANAPC4	ENSG00000053900.10	9.005	24.260	-1.336	4.21e-86
ANGPT1	ENSG00000154188.9	2.510	7.010	-1.190	1.01e-36
ANGPTL1	ENSG00000116194.12	1.215	4.715	-1.367	1.21e-51
ANGPTL4	ENSG00000167772.11	5.840	15.690	-1.287	7.86e-22
ANK2	ENSG00000145362.16	1.865	5.230	-1.121	3.96e-45
ANKDD1A	ENSG00000166839.16	1.560	6.320	-1.516	2.08e-95
ANKRD10	ENSG00000088448.14	54.445	120.145	-1.128	3.91e-32
ANKRD10-IT1	ENSG00000229152.2	3.995	11.224	-1.291	6.65e-24
ANKRD13D	ENSG00000172932.14	21.370	59.703	-1.440	2.43e-53
ANKRD22	ENSG00000152766.5	5.830	2.410	1.002	8.37e-22
ANKRD23	ENSG00000163126.14	2.120	5.250	-1.002	5.97e-21
ANKRD35	ENSG00000198483.12	1.685	5.655	-1.309	9.26e-68
ANKRD36	ENSG00000135976.16	2.005	6.030	-1.226	3.23e-51
ANKRD36B	ENSG00000196912.12	2.710	7.635	-1.219	2.18e-29
ANKRD53	ENSG00000144031.11	0.460	2.410	-1.224	1.29e-110
ANKRD65	ENSG00000235098.8	7.205	19.045	-1.289	1.23e-57
ANKZF1	ENSG00000163516.13	25.340	72.654	-1.484	1.26e-34
ANO1	ENSG00000131620.17	7.800	16.935	-1.027	1.85e-31
ANO4	ENSG00000151572.16	1.660	5.015	-1.177	1.56e-27
ANO9	ENSG00000185101.12	2.920	10.882	-1.600	1.12e-42
ANXA2	ENSG00000182718.16	218.925	442.796	-1.013	9.76e-33
ANXA8	ENSG00000265190.6	2.155	7.784	-1.477	1.19e-30
AOC3	ENSG00000131471.6	23.900	50.404	-1.046	7.57e-30
AOX1	ENSG00000138356.13	4.380	21.595	-2.070	1.47e-73
AP000275.65	ENSG00000265590.9	4.485	1.170	1.338	1.33e-27
AP000347.2	ENSG00000272578.5	0.600	2.690	-1.206	1.15e-55
AP000347.4	ENSG00000234353.2	0.890	4.210	-1.463	3.86e-45
AP000438.2	ENSG00000257002.1	3.525	0.950	1.214	5.29e-51
AP000473.5	ENSG00000228798.1	1.080	5.220	-1.580	1.93e-51
AP000473.8	ENSG00000270093.1	0.320	1.945	-1.158	2.83e-66
AP000696.2	ENSG00000231324.1	2.460	0.350	1.358	1.08e-49
AP000892.6	ENSG00000280143.1	15.130	46.859	-1.569	3.35e-52
AP001062.7	ENSG00000184441.4	1.090	3.755	-1.186	1.25e-63
AP001610.9	ENSG00000232806.1	1.515	0.000	1.331	1.74e-45
AP003391.1	ENSG00000281272.1	10.500	0.000	3.524	7.08e-15
AP006748.1	ENSG00000223400.1	2.920	0.000	1.971	4.49e-48
AP1G2	ENSG00000213983.11	60.690	147.676	-1.269	3.34e-22
AP1M2	ENSG00000129354.11	97.146	42.836	1.163	5.63e-72
AP1S1	ENSG00000106367.13	62.684	29.381	1.068	9.15e-66
APBB1	ENSG00000166313.18	18.330	42.165	-1.159	1.35e-75
APBB3	ENSG00000113108.17	10.835	35.770	-1.635	7.28e-54
APLP2	ENSG00000084234.16	390.857	179.276	1.120	1.88e-36
APOBEC3C	ENSG00000244509.3	7.635	21.340	-1.371	2.19e-44
APOBEC3D	ENSG00000243811.7	0.905	2.950	-1.052	7.27e-61
APOBEC3G	ENSG00000239713.7	4.460	11.150	-1.154	5.86e-38
APOC1	ENSG00000130208.9	57.295	12.485	2.112	3.01e-58
APOE	ENSG00000130203.9	82.286	26.275	1.611	6.86e-34
APOF	ENSG00000175336.9	4.605	0.315	2.092	3.86e-58
AQP1	ENSG00000240583.10	44.884	98.670	-1.119	1.66e-32
AQP11	ENSG00000178301.3	4.930	1.675	1.149	1.26e-32
ARAP1-AS1	ENSG00000256007.1	2.685	0.000	1.882	4.36e-4
ARAP3	ENSG00000120318.15	2.735	10.880	-1.669	1.60e-88
ARF6	ENSG00000165527.6	58.604	25.365	1.177	3.41e-58
ARFGAP1	ENSG00000101199.12	41.694	94.953	-1.168	1.67e-40
ARFGEF3	ENSG00000112379.8	23.405	7.140	1.584	5.43e-51
ARGLU1	ENSG00000134884.13	46.840	168.166	-1.822	9.15e-38
ARHGAP10	ENSG00000071205.11	9.455	22.485	-1.168	1.12e-61
ARHGAP23	ENSG00000275832.4	5.245	19.285	-1.700	1.70e-70
ARHGAP27	ENSG00000159314.11	9.405	20.725	-1.062	2.81e-35
ARHGAP33	ENSG00000004777.18	4.225	15.015	-1.616	3.06e-40
ARHGAP4	ENSG00000089820.15	7.115	19.605	-1.344	1.71e-33
ARHGAP40	ENSG00000124143.10	0.285	2.105	-1.273	1.05e-41
ARHGEF1	ENSG00000076928.17	32.969	86.801	-1.370	4.88e-44
ARHGEF10L	ENSG00000074964.16	10.850	28.125	-1.297	3.85e-91
ARHGEF15	ENSG00000198844.10	2.375	6.955	-1.237	6.77e-49
ARHGEF17	ENSG00000110237.3	9.535	43.289	-2.072	1.40e-88
ARHGEF19	ENSG00000142632.16	4.900	11.950	-1.134	3.13e-48
ARHGEF2	ENSG00000116584.17	9.060	24.260	-1.328	1.93e-73
ARHGEF25	ENSG00000240771.6	13.465	57.547	-2.017	1.25e-88
ARHGEF26	ENSG00000114790.12	31.675	9.355	1.658	5.99e-70
ARHGEF28	ENSG00000214944.9	2.330	6.140	-1.100	2.86e-52
ARHGEF4	ENSG00000136002.16	5.575	14.260	-1.215	1.87e-65
ARHGEF40	ENSG00000165801.9	6.870	25.280	-1.740	3.19e-104
ARID5A	ENSG00000196843.15	10.635	34.689	-1.617	6.31e-42
ARL10	ENSG00000175414.6	0.740	3.050	-1.219	1.27e-100
ARL17A	ENSG00000185829.15	4.335	9.840	-1.023	1.52e-41
ARL4D	ENSG00000175906.4	3.485	9.650	-1.248	1.07e-51
ARL6IP1	ENSG00000170540.14	109.644	43.805	1.304	1.71e-45
ARMCX1	ENSG00000126947.11	7.820	20.654	-1.296	3.00e-33
ARMCX4	ENSG00000196440.11	4.810	19.484	-1.818	2.48e-83
ARNTL	ENSG00000133794.17	2.930	10.010	-1.486	6.35e-80
ARRDC2	ENSG00000105643.9	12.540	29.760	-1.184	1.87e-46
ASB2	ENSG00000100628.11	4.965	15.897	-1.502	5.88e-48
ASCL2	ENSG00000183734.4	0.625	2.350	-1.044	8.31e-18
ASIC3	ENSG00000213199.7	1.610	7.620	-1.724	2.21e-31
ASMTL-AS1	ENSG00000236017.7	5.580	25.780	-2.025	9.01e-22
ASPA	ENSG00000108381.10	0.420	2.245	-1.192	1.11e-91
ASPHD1	ENSG00000174939.10	5.480	2.160	1.036	4.42e-49
ASXL1	ENSG00000171456.16	14.710	31.679	-1.057	2.75e-42
ATAD3B	ENSG00000160072.19	8.550	27.040	-1.554	2.73e-32
ATAD3C	ENSG00000215915.9	1.800	7.065	-1.526	1.90e-76
ATG16L2	ENSG00000168010.10	6.190	25.795	-1.898	3.07e-61
ATG4B	ENSG00000168397.16	40.165	88.686	-1.123	2.61e-52
ATHL1	ENSG00000142102.15	8.745	57.468	-2.585	1.11e-55
ATOH8	ENSG00000168874.12	9.310	27.555	-1.470	4.75e-51
ATP1A2	ENSG00000018625.14	4.500	20.382	-1.959	7.93e-50
ATP1B2	ENSG00000129244.8	1.305	3.985	-1.113	2.86e-70
ATP2A3	ENSG00000074370.17	11.800	24.675	-1.004	3.76e-29
ATP2B4	ENSG00000058668.14	13.740	36.185	-1.335	2.05e-51
ATP2C1	ENSG00000017260.19	152.608	70.604	1.101	5.81e-34
ATP6AP1	ENSG00000071553.16	196.508	91.047	1.101	4.43e-76
ATP6V0E2	ENSG00000171130.17	129.637	48.648	1.396	2.33e-73
ATP6V1C2	ENSG00000143882.9	1.180	3.925	-1.176	3.02e-25
ATP6V1G1	ENSG00000136888.6	349.366	130.815	1.410	2.29e-82
ATXN7L2	ENSG00000162650.15	2.030	5.575	-1.118	4.42e-59
AUTS2	ENSG00000158321.15	7.985	17.250	-1.022	1.83e-28
AVIL	ENSG00000135407.10	1.290	5.179	-1.432	8.44e-59
AVPI1	ENSG00000119986.6	7.280	20.210	-1.357	3.97e-64
AXL	ENSG00000167601.11	7.535	16.324	-1.021	4.48e-38
B3GAT1	ENSG00000109956.12	9.565	2.610	1.549	6.18e-31
B3GNT8	ENSG00000177191.2	1.255	3.665	-1.049	4.89e-54
B3GNT9	ENSG00000237172.3	4.675	12.260	-1.224	1.05e-59
B4GALNT1	ENSG00000135454.13	1.050	4.360	-1.387	1.18e-79
BAMBI	ENSG00000095739.10	10.510	4.235	1.137	1.22e-16
BBS5	ENSG00000163093.11	3.850	8.735	-1.005	8.94e-70
BCAM	ENSG00000187244.10	489.952	207.080	1.238	9.51e-60
BCL11A	ENSG00000119866.20	2.970	7.450	-1.090	6.13e-23
BCL6	ENSG00000113916.17	14.850	49.864	-1.682	5.40e-62
BCO2	ENSG00000197580.11	0.730	3.485	-1.374	8.71e-84
BDH2	ENSG00000164039.14	14.220	47.725	-1.679	7.11e-78
BDKRB2	ENSG00000168398.6	1.025	3.675	-1.207	4.89e-52
BEGAIN	ENSG00000183092.15	0.770	4.660	-1.677	3.37e-96
BEND4	ENSG00000188848.15	5.600	1.100	1.652	1.59e-49
BEND5	ENSG00000162373.12	2.640	7.530	-1.229	2.03e-64
BEST1	ENSG00000167995.15	1.035	3.755	-1.224	1.24e-96
BEX1	ENSG00000133169.5	1.525	5.200	-1.296	4.01e-22
BGLAP	ENSG00000242252.1	0.855	3.779	-1.365	3.36e-41
BHLHA15	ENSG00000180535.3	12.045	5.214	1.070	9.82e-14
BHMT2	ENSG00000132840.9	2.420	12.610	-1.993	9.70e-94
BIK	ENSG00000100290.2	36.734	13.105	1.420	2.16e-83
BIRC5	ENSG00000089685.14	2.440	0.600	1.104	7.60e-40
BMP1	ENSG00000168487.17	5.510	31.035	-2.299	2.13e-101
BMP4	ENSG00000125378.15	6.665	16.624	-1.201	5.69e-42
BMP5	ENSG00000112175.7	0.080	1.315	-1.100	1.23e-19
BMPR1B	ENSG00000138696.10	28.779	11.855	1.212	3.32e-39
BMPR1B-AS1	ENSG00000249599.1	8.800	3.590	1.094	1.85e-31
BNIPL	ENSG00000163141.18	1.210	9.940	-2.307	1.66e-65
BOC	ENSG00000144857.14	12.940	37.791	-1.476	2.33e-54
BOLA2B	ENSG00000169627.7	95.266	42.339	1.151	1.19e-79
BPIFB2	ENSG00000078898.6	3.735	0.875	1.336	7.56e-17
BRI3BP	ENSG00000184992.10	4.385	1.650	1.023	6.05e-44
BRICD5	ENSG00000182685.7	2.420	11.705	-1.893	5.53e-46
BRSK1	ENSG00000160469.16	2.500	8.875	-1.496	6.04e-40
BTAF1	ENSG00000095564.13	6.240	16.159	-1.245	7.05e-42
BTBD19	ENSG00000222009.8	0.630	4.569	-1.773	4.39e-94
BTD	ENSG00000169814.12	25.610	10.985	1.151	5.31e-48
BTN2A1	ENSG00000112763.15	8.530	20.180	-1.152	4.19e-84
BTNL9	ENSG00000165810.16	1.055	7.823	-2.102	5.98e-69
BZRAP1	ENSG00000005379.15	16.425	51.087	-1.580	1.73e-47
C10orf54	ENSG00000107738.19	14.950	38.790	-1.319	4.67e-52
C10orf82	ENSG00000165863.16	0.105	1.375	-1.104	1.26e-69
C11orf96	ENSG00000187479.5	17.130	55.479	-1.639	3.91e-29
C12orf75	ENSG00000235162.8	29.775	63.269	-1.062	6.77e-27
C14orf159	ENSG00000133943.20	15.620	34.415	-1.091	4.99e-44
C15orf48	ENSG00000166920.10	32.594	6.545	2.155	1.11e-24
C15orf52	ENSG00000188549.12	7.405	19.095	-1.258	1.69e-50
C15orf59	ENSG00000205363.5	4.925	18.240	-1.699	1.89e-68
C16orf45	ENSG00000166780.10	12.800	32.305	-1.271	2.15e-58
C16orf74	ENSG00000154102.10	2.210	8.750	-1.603	7.74e-57
C16orf89	ENSG00000153446.15	2.280	6.874	-1.263	1.78e-26
C19orf48	ENSG00000167747.13	251.671	105.895	1.241	1.03e-63
C19orf66	ENSG00000130813.17	14.795	39.594	-1.362	1.66e-73
C1orf106	ENSG00000163362.10	2.430	6.410	-1.111	5.31e-32
C1orf116	ENSG00000182795.12	96.991	20.883	2.163	1.50e-77
C1orf159	ENSG00000131591.17	6.480	14.210	-1.024	2.10e-46
C1orf162	ENSG00000143110.11	3.630	9.145	-1.132	9.90e-42
C1orf186	ENSG00000263961.6	0.825	3.360	-1.256	1.90e-50
C1orf233	ENSG00000228594.3	3.990	0.955	1.352	1.91e-65
C1orf53	ENSG00000203724.10	5.300	2.055	1.044	3.80e-54
C1orf95	ENSG00000203685.9	1.060	3.495	-1.126	6.05e-42
C1QL1	ENSG00000131094.3	0.260	1.675	-1.086	1.29e-51
C1QTNF1	ENSG00000173918.14	11.805	42.715	-1.771	1.06e-67
C1QTNF4	ENSG00000172247.3	0.300	1.810	-1.112	6.99e-75
C1RL-AS1	ENSG00000205885.7	0.920	4.275	-1.458	7.31e-64
C1S	ENSG00000182326.14	68.835	185.367	-1.416	1.90e-32
C2	ENSG00000166278.14	18.325	8.028	1.098	7.94e-26
C20orf166-AS1	ENSG00000174403.15	0.750	9.324	-2.561	1.40e-116
C20orf194	ENSG00000088854.12	3.085	7.950	-1.132	1.56e-71
C2orf40	ENSG00000119147.9	15.555	46.449	-1.519	6.34e-32
C2orf72	ENSG00000204128.5	19.030	3.075	2.297	9.47e-60
C2orf88	ENSG00000187699.10	0.875	4.980	-1.673	2.52e-94
C3orf18	ENSG00000088543.14	4.525	10.290	-1.031	1.46e-57
C5orf30	ENSG00000181751.9	8.485	3.505	1.074	4.15e-32
C5orf45	ENSG00000161010.14	14.645	45.550	-1.573	1.20e-79
C5orf56	ENSG00000197536.10	5.260	14.105	-1.271	6.74e-65
C6orf49	ENSG00000278224.4	0.920	3.733	-1.302	1.05e-54
C7	ENSG00000112936.18	19.700	78.454	-1.940	9.25e-41
C7orf55	ENSG00000164898.12	70.236	32.540	1.087	2.09e-76
C8orf34-AS1	ENSG00000248801.6	7.220	2.080	1.416	1.85e-30
C8orf46	ENSG00000169085.11	1.420	4.540	-1.195	3.91e-62
C8orf88	ENSG00000253250.2	2.700	10.070	-1.581	1.84e-69
C9orf152	ENSG00000188959.9	32.910	13.565	1.219	4.78e-51
C9orf3	ENSG00000148120.14	28.285	91.189	-1.654	3.23e-83
