Gene_ID	LNCaP_1	LNCaP_2
HIST3H2A	52.5833	40.9884
RGL1	1.02541	0.991503
OR9A4	0	0
OR5P3	0	0
DMP1	0	0
ANXA2	0.159964	0.479856
SMPDL3A	6.59132	6.56398
RAB23	3.68623	3.53355
EARS2	12.9593	12.9874
TCP11L1	3.04672	5.43523
RSBN1	2.37988	2.39841
SAMSN1	0	0.0336993
SRP14	268.383	279.743
KRT6A	0	0.0734265
C19orf44	5.45683	4.64065
DKFZP434H0512	0	0
METTL8	7.25247	7.6125
FAM195B	28.8434	29.4369
DPY19L1	0.546138	0.698918
ROPN1	0.0427599	0.0114241
NXPE1	0	0.0185477
POTEF	0.151576	0.047157
ZCCHC13	0	0
CLCC1	11.0469	12.7276
RNF41	59.0613	59.6352
SMAD6	1.51015	1.77324
RNF34	20.9791	21.0162
STAR	0.0817803	0
CUL9	3.68561	3.72249
PTPRJ	8.30154	11.6096
CPXCR1	0	0
NPHP1	2.34401	2.4982
ACOXL	0.720661	0.432376
HPSE2	0.0334163	0
ABHD14A-ACY1	1.6808e-05	2.88887e-05
EGR4	0	0
ABCB10	3.59985	3.28732
CTDNEP1	46.4372	48.6336
PKD2	3.98449	3.19015
NAA60	28.8681	28.0192
BTN3A1	3.23171	3.21814
EFNA2	0.104715	0.219944
TSPEAR	0	0.0406191
SP3	11.4936	11.6044
PSG4	0	0
INPP5K	16.0585	17.6885
OAT	2.77962	3.01219
PRPSAP2	18.1075	20.071
MDFIC	0	0
EXOC6	3.18016	3.46476
RFC3	10.416	9.44899
MAS1	0	0
TTC9C	17.6468	20.2761
OGT	27.3704	28.1208
HIPK1	8.9564	9.63067
ASH2L	20.0852	20.574
MIEF2	15.9447	14.6208
NUDT16	9.95113	9.89692
ESRP1	24.7484	27.3869
PYGB	37.452	39.1955
UNC45A	34.9902	34.5153
C9orf64	5.10943	4.4976
HOXA10	2.50505	2.3413
UGT8	0.164655	0.0392582
NMS	0	0
AP3M1	17.5345	17.3246
SBSN	0.0569811	0.0447218
LENG9	8.94608	9.13599
KCTD20	13.0005	14.8412
MDN1	1.27914	1.15094
CCDC91	15.2518	14.7628
SCRN3	20.1188	19.8182
PRPF19	92.2354	95.4456
TAS2R46	0	0
ZSWIM4	2.15358	2.32945
OR2L8	0	0
TRABD2A	0	0.087537
PPL	2.32864	2.04441
DPAGT1	11.1994	12.4619
B3GALT2	0	0.0124625
SUB1	90.4123	89.5011
ATP6V1H	21.1933	23.6657
GAGE1	0	0
KRTAP5-7	0	0
SELM	84.6757	91.8129
PRDX2	484.566	491.165
CTXN2	0	0
HMHB1	0	0
TMC5	0.0175011	0.0692087
ELOVL5	98.4408	103.795
VPS72	30.137	28.9373
OAS2	0.0117396	0
RAB17	18.3359	17.3951
KLHL38	0	0
FGD5	0	0
AC140061.12	0	0
DBT	20.5893	20.1235
ZNF33B	3.9271	4.34937
GPATCH1	2.7467	3.0325
GPHA2	0.245854	1.07211
PTPLAD1	43.3373	45.419
SRPX	0.0808481	0.0257429
ANKUB1	0.0268211	0
ZNF69	0.0561017	0.0536065
LAMP2	64.66	70.8151
IL22	0	0
ACHE	0.268512	0.384341
OR10G2	0	0
RXRG	0	0
FLJ00104	0.824283	0.768935
RPGRIP1L	7.2842	7.1253
FMNL1	1.97549	1.00909
LOXL2	0.711096	0.126758
SMR3A	0	0
ZNF583	2.21709	2.34925
METAP2	38.3219	37.8973
SLC6A16	0	0.014024
MAN1C1	1.24854	0.890222
NT5M	3.92953	4.31101
ZNF513	7.69816	8.33295
FAM129A	5.50151	5.48057
EML3	10.0837	10.3809
AKAP8	6.57963	7.00249
RCSD1	0.0695059	0.0130675
LEPREL1	1.89959	2.43065
SEPT10	8.36141	8.07035
AC005544.1	3.44136e-05	3.43897e-06
LRRC14B	0.0300889	0.0862602
LIPE	0.0609258	0.10226
ADCY3	7.95635	7.04125
RNF144B	2.51946	2.49032
CNBP	138.47	141.676
ORMDL3	23.7519	23.0811
GPR17	0	0
DISC1	0.0298395	0.0192315
MEAF6	58.7942	54.8971
POLR2I	42.12	42.5936
FIGF	0.133186	0.0635866
COL4A3BP	11.1464	12.381
C21orf2	12.0042	11.3379
SOX9	3.33052	3.70758
HINT3	18.1959	16.9026
CRYBB3	0	0.314282
FOXD4L6	0.0053275	0.0259273
BRF2	6.33174	7.27045
PCDHA11	5.50877e-55	0.032564
TSPO2	0	0
SLMO2	38.287	37.5728
C17orf82	0	0
ZMYND19	22.8779	23.0953
C7orf66	0	0
AC015989.2	0	0
IFT80	9.09605	8.08487
MPHOSPH8	12.3849	11.0202
STX8	20.6293	18.1147
NIPBL	3.53678	4.08752
C3orf80	0.170068	0.0811526
CYP2D6	0.337039	0.291428
S100A8	0	0
C10orf55	0	0
MYH10	24.1106	22.8289
CERS5	6.41895	6.36019
OR6C4	0	0
RP11-81K2.1	0	0
RABEPK	21.8337	20.5538
CCL1	0	0
PLXNC1	0.0576425	0.121356
DHDDS	10.6467	9.37608
NXT1	5.64829	6.06557
CLTCL1	1.1529	1.16365
SPDYE3	0.0269292	0.064227
FER1L6	0.133453	0.180806
OR2A4	0.30095	0.177271
EMC3	38.1077	37.5268
ARHGAP1	15.6746	14.2501
IL8	0.181721	0
TENM4	0.0142444	0.232746
RP11-618P17.4	4.72746e-74	1.26554e-93
DUPD1	0	0
LINGO2	0	0
OAZ1	609.164	600.317
AC037459.4	21.4445	18.0417
COA1	19.2741	18.6779
ANKDD1B	0	0.016287
DBN1	49.751	48.6936
GCLC	8.67631	8.77682
TOM1L1	40.3347	36.9092
ANAPC13	31.3761	30.5899
LRP12	2.03891	2.2367
CCDC96	1.3145	1.35458
SEZ6L2	41.0701	40.2575
VRTN	0	0
C20orf24	49.7717	51.2343
GPX4	276.482	278.697
KLF11	5.60039	3.67301
GPR150	0	0
C12orf71	0	0
RAB40AL	0	0.0494095
PSMA6	149.151	152.925
SPINK13	0	0
CACNA2D3	0.0238761	0.0113854
RNF219	1.90268	2.03317
THUMPD3	22.6291	28.4289
UBC	286.329	287.03
SMARCC2	23.3652	21.7203
ITGA7	0.24088	0.444441
UPK1B	0	0
KATNAL2	1.30311	0.85632
NUP35	6.69878	5.45963
VSX2	0	0
KRTAP4-12	0	0
KRT24	0	0
HAMP	0	0
REEP6	43.8404	41.9852
ZNF776	11.3358	11.4724
CYLC1	0	0
APOBEC3H	0.453609	0.724729
ZNF431	2.63315	2.19429
TRIM49	0.0518047	0.0633663
KLF16	9.15782	9.36726
COL4A2	0.104496	0.161884
UFL1	17.0145	18.2616
EGFL6	0	0
MYH6	0	0.0133589
TIGIT	0	0
NOL7	56.9804	55.6122
CCDC103	2.60668	2.39578
SLC25A26	10.6182	11.0902
SIL1	137.486	165.949
WASF2	18.6725	20.3754
ZNF286A	10.9981	10.5854
SMU1	30.7179	32.6951
RASGEF1A	0.0132199	0.101989
CDON	2.77042	2.82582
CCL3L1	0	0
TMEM220	0.0346251	0
SFTPC	0.305552	0
SPAG11B	0	0
GP5	0	0
DUOX1	0.0275838	0.0701443
BRD4	28.6563	27.0985
LIPK	0	0
MRPL36	39.1118	36.4042
ERLIN2	31.6174	32.9283
GKAP1	3.49155	3.81164
SERPINI2	0	0.035319
OR8D1	0.103592	0
REEP3	19.4872	19.6353
REG3G	0	0
C19orf81	2.63297	3.60167
FKBP14	1.38937	1.34075
SPATS2	21.5486	21.4038
SPIN1	13.9203	14.7959
SAMD5	0.128182	0.0514545
CA13	0.708566	0.696936
FAM86C1	4.93766	4.96717
C20orf27	22.3322	20.2827
WDHD1	4.34254	3.48604
ATP6V1A	28.7141	31.436
RP11-167N24.6	0	0
MICAL1	3.8589	3.75303
AP2S1	105.311	106.019
RFPL3	0	0
MFSD5	8.82546	9.76794
SCN10A	0	0
PRKD2	3.69737	4.00306
TCN1	0	0
ZNF324B	2.91003	2.45064
LTA4H	27.5058	30.0541
PTS	36.199	37.504
VHL	20.6412	20.4924
CORO7	3.91462	9.45882
P2RY13	0	0
FMN1	0.0207121	0.00939213
CD276	40.2465	37.4145
TMEM178B	0.0228989	0.0327368
ZNF410	18.5704	21.049
C10orf71	0	0
SRD5A1	7.57974	7.50963
CIB2	0.471571	0.403653
DEGS1	141.1	148.332
TCF7L2	1.66016	1.55916
ABLIM2	0.266915	0.345082
KLKB1	0.115419	0.0914612
MDGA1	0.605819	0.789628
TSPY3	1.47887	1.69509
PIGF	10.0056	10.8865
COX6A1	630.35	647.911
FCGR2A	0.0694337	0.0407908
TUBGCP2	26.0867	24.2316
CSRNP1	3.38154	3.95455
ACTN4	191.506	172.798
TSPAN3	40.5911	41.6201
PADI4	0	0
STT3A	89.7377	88.3567
FUT3	1.08791	1.43676
ZDHHC2	5.13578	7.11713
CCNL2	36.4396	36.381
ITIH2	0	0
CPED1	0.046191	0.0197853
LGALS14	0	0
KLRK1	0.0880068	0
ASB16	0.587655	0.420792
HLA-E	5.1169	5.6864
CORIN	0.0365453	0.0395154
G3BP1	59.0227	54.9944
UBA7	1.12717	1.0382
MAP3K10	9.58193	9.77879
CRKL	7.5249	7.27095
DAB1	0.00780731	0.3735
EXO5	2.69388	3.49185
AL353791.1	0	0.0106105
RP1-32I10.10	0	0
EIF1AD	10.3273	11.394
PPM1D	3.81424	3.79083
MLLT4	21.1281	18.6909
SHQ1	3.71319	4.69612
CYP7B1	0	0
GTDC1	3.63647	4.4601
PALM	1.19339	1.3563
PSMG3	24.7674	18.1761
PCP2	3.46695	1.73218
SLC9A4	0	0
TNFSF9	0.848085	1.02637
AMOT	1.85041	2.00635
OR6C65	0	0
FAM228B	4.79198	1.65657
ARHGEF3	0.313302	0.616793
GPR176	2.38591	2.39315
ENTPD2	4.55653	4.42455
TBK1	8.21403	7.96766
MXD1	0.914643	0.970899
FAM84A	0.202953	0.253746
GJA5	0	0
RNASE12	0	0
CBX2	3.96208	4.72105
ABCB5	0	0
LTBR	59.8736	55.3717
REL	0.836558	0.637206
SLC6A17	0.0701383	0.0790221
TAAR6	0	0
SLC16A6	2.53062	2.24052
CORO6	0	0
YTHDF2	25.6642	24.7142
C15orf62	0.389675	0.405724
NRIP1	4.48979	4.7096
SPATA12	0	0
ACPL2	1.90223	1.41679
CDKN2D	6.08414	6.48835
PAFAH1B3	33.3676	32.8264
TAS2R8	0	0
IRF2BP2	14.045	13.6702
OR2L13	0	0
MRPL27	43.4953	44.6096
TMEM233	0	0
FTSJ3	21.4033	18.2313
RP11-763F8.1	0	0
NISCH	19.8846	18.9236
DIAPH3	3.68353	3.51118
CASP9	3.71437	4.2962
CTC-534A2.2	0.561334	0.819184
GUSB	31.2967	30.9382
IRG1	0.0333317	0
SMDT1	42.3492	45.7275
PLEKHM1	3.49006	3.27584
PSKH1	12.0999	11.5187
VCP	87.4942	92.1205
TMX2	61.9674	65.3156
OR52J3	0	0
ANGPTL1	0	0
PCDHGB4	0.463431	0.58365
RAD50	9.55749	9.62445
TYSND1	11.4666	10.9375
ZBTB48	7.34215	8.16873
FAM126B	1.16299	0.819161
DNM1L	19.4633	19.0338
CTD-3074O7.11	8.94204e-12	1.93079e-11
NMUR1	0	0
NDUFV2	169.957	168.642
SUGP2	17.074	17.2345
EIF1AX	35.6432	32.4107
LRRIQ1	0.680948	0.932882
RFC1	11.9601	12.0813
RFWD3	5.20216	5.39929
ATG16L2	2.10558	2.18492
PRB2	0	0
FBXL4	4.92358	4.49876
KLK8	0	0
SCYL3	2.48706	2.55122
DDX54	36.5734	41.459
C7orf73	25.1621	25.1262
PTGER4	0.31811	0.502185
VPS51	77.4344	70.4566
TNFRSF17	0	0
MGA	2.70948	2.29273
SLC30A6	4.64948	4.43155
TANGO6	2.34864	2.19836
SNAP91	0.280159	0.256831
UXT	59.1986	67.1791
MAX	64.4212	67.612
GNL2	30.3446	30.5328
OR6V1	0	0
GRAMD1A	31.2158	28.4703
XKR8	1.87921	2.19522
SPN	0.0119257	0
SH3KBP1	7.75473	9.7366
ATP11A	20.0417	20.2145
AWAT2	0	0
ZNF420	2.79471	2.70376
KIF27	1.37543	1.32151
SLC22A11	0.537165	0.386182
ACOT7	22.6633	23.8763
SLC10A3	6.29226	6.78081
INPP4A	5.90556	4.59315
INTS4	6.79334	6.8254
ADCYAP1	0	0
SSR1	70.169	72.9705
G3BP2	49.6577	51.4137
LRFN3	3.41017	3.6565
CDIP1	20.1498	20.8708
CAMK1D	0.462098	0.744551
OR5H1	0	0
TCTE1	0	0.0403995
ACOX3	3.68349	4.72517
ATR	3.56446	3.66641
PCDHGB1	1.34438	1.30277
MRPS14	10.5877	9.94631
B3GALNT2	8.64793	8.79172
TMIGD1	0	0
WSB1	14.9274	14.6748
SOX17	0	0
MT-CYB	1862.8	1858.56
NDP	0.0752723	0.215685
GNB4	1.68345	1.78286
CLEC12B	0	0
CASC10	0.0333457	0.0954137
NUDT9	21.4514	22.2129
STRBP	18.8011	19.7415
AIFM1	32.6585	32.2065
SEC22A	9.38889	8.4319
ZNF683	0	0
TIMELESS	12.0664	11.846
ZFP36L2	3.59135	3.21242
RP11-477N12.3	0	0
CSTF2	13.1082	13.9156
GALNT14	0.176048	0.249492
SCN4B	0.0652024	0.189275
FGG	0.0617858	0
AC103809.2	0	0
CBLL1	7.52815	6.35538
BCAS2	31.5523	31.961
TAF11	12.1509	12.5552
TICRR	0.878827	0.642042
ZG16	0	0
GFAP	0	0
THEM5	0	0
GNPDA2	8.38821	9.76103
YME1L1	28.6174	29.2395
TAF5L	5.39152	4.79148
ABCF1	36.0278	34.207
ITFG3	54.6748	53.5886
NDUFA6	63.3482	68.5938
RP11-343C2.12	2.11779e-57	1.5153e-45
ATP6AP1L	2.02294	1.92216
ABCC8	0.227318	0.295574
MSS51	0.158074	0.208904
ZNF211	2.41487	2.89853
CHUK	2.76071	3.14654
FARSB	31.4678	32.6786
C1orf180	0	0
USP22	85.0364	89.3784
ZNF442	0.980111	0.820852
DSE	0.929709	1.30092
FUK	13.7327	12.4273
ZNF609	6.77345	6.36879
RTP2	0	0
ZNF613	3.37846	4.07631
SLC37A2	0.272595	0.312238
C17orf50	0.0523482	0
CNOT4	5.91351	6.36829
FOPNL	14.1568	14.4626
VIT	0	0
CASR	0	0
PCDHGA8	1.13264	1.21713
CNTLN	1.8411	2.07838
GDPD4	0	0
C8orf17	0	0
NFE2L2	15.4022	13.9803
TRAM2	1.7743	1.92821
YIPF5	12.7329	13.583
HNRNPAB	76.1574	72.3791
CREBL2	19.421	19.4155
PHOSPHO1	0.2588	0.0853404
CCKBR	0	0.0511742
KIAA1045	0	0
WRAP73	8.79593	9.9466
AC007421.1	0	0
SIX1	0.526695	0.566326
PHF1	7.96452	8.04093
AL163636.6	8.8782e-18	0.252826
ZNF623	4.45757	4.94249
WDYHV1	4.96833	7.52502
PNLDC1	0	0
OSTC	58.3348	58.9167
RAPGEF6	2.96754	2.91465
F2RL1	4.71944	4.83483
CTNNBL1	15.7287	15.3177
CHN1	0.0333593	0.525506
TTBK2	1.54146	2.30353
KRTAP10-6	0	0
AC074212.3	0.0158279	0
MED14	3.37378	4.24378
SENP3	31.6534	30.5902
WNT10B	1.31723	1.60706
HEG1	0.498569	0.455222
PRKCI	8.79857	9.38135
CYB5R1	28.4773	26.869
SHOX2	0.242089	0.25433
CHEK2	6.48865	5.93592
EBF4	0.360574	0.623014
RP11-248J23.6	0	0
MEGF11	0.0292182	0.0137643
KIF24	0.782506	0.77291
SPDYE1	0.148433	0.0629558
PCDHA1	0.0682028	0.0813485
DEK	50.9295	56.6193
C11orf84	9.02447	7.85065
PGM1	18.1979	18.586
RPS25	722.04	735.851
RPS23	2610.59	2454.06
TAF7	32.7888	32.5148
ANGPTL2	0.0228386	0.0162443
GPR19	0.550057	0.669561
AP4E1	0.925807	0.859495
OR1S1	0	0
GABRA1	0	0
HEBP2	60.43	65.3131
PHKA1	6.69636	7.29589
TCF3	34.8863	31.9261
SLC28A1	0.0297018	0
CETP	0	0
BTBD9	6.00655	6.0757
ALG9	8.14673	8.70862
PRSS33	0	0
LRRK2	0	0
GRAP	0.140135	0.133091
MRPL39	20.4239	21.2463
AQP3	15.0015	15.1346
PLD2	4.50017	4.41372
NSUN6	4.16449	4.0339
RP11-1021N1.1	1.81885	0.102038
RNF24	2.79014	2.97121
FLRT1	0.32005	0.437518
EFEMP2	0.52996	1.15785
NCS1	5.92845	6.46946
ZNF766	7.99133	9.38249
UBXN7	5.79003	4.71679
ZBED3	3.94993	3.97502
S100A16	0.138573	0.176836
TAOK2	16.7667	15.4947
GAGE12J	0	0
IFITM10	0.0799564	0.0358727
COMMD6	34.1851	30.1901
ERMARD	15.0462	14.821
GOSR2	17.2573	19.0558
FNDC3B	34.2369	36.7068
CD82	4.05803	3.98004
MARCKS	10.678	10.9406
C10orf25	0.0558996	0
SRGN	0.292387	0.039963
CHCHD5	50.6919	47.433
CNTF	0.145614	0.0463564
AC006132.1	0	0
MRPS23	79.0379	80.2417
MTSS1L	15.0067	20.0444
PAPPA	0	0.00350094
SPCS1	120.647	114.011
OR10G3	0	0
UAP1L1	7.61647	7.75891
KIF15	1.42523	1.70285
MAGI2	0.312624	0.166202
PFKFB2	3.28145	3.37303
GLUD2	1.20753	1.5066
ROGDI	51.9193	50.7372
SRP68	32.0408	31.9097
CCDC138	2.80746	2.00259
RANBP6	2.96261	3.33799
METTL2B	10.1383	10.4204
CEP120	2.29883	2.93272
KIAA0556	6.79666	6.48627
WASF1	6.89892	8.00915
CYB561D1	3.01415	2.99813
DIS3	3.70585	4.26307
BRD9	9.13961	9.36192
RPL39	2012.59	2324.98
PPP1CB	76.1595	83.7051
C17orf58	3.81933	4.39248
KLHL7	9.32648	9.29889
TRIM6	0.0292726	0
TMEM242	3.75425	4.70786
OR51A4	0	0
TMEM50A	8.47169	8.31712
STOML1	6.09765	7.61244
VEGFA	89.5482	91.7085
RDH11	227.694	233.952
FXYD3	56.9177	58.1179
SF3B5	74.7419	74.1465
CNGB1	0	0
MDM4	3.54881	5.3598
TSC22D1	67.4381	70.9302
COPS2	33.1378	33.9478
FASLG	0	0
CHSY1	7.77706	6.78651
LINS	2.75568	2.60113
S1PR3	0.873354	0.480339
MAPK13	7.70046	6.74991
C1orf227	0.164662	0
C22orf34	0.0296343	0.0283177
NGFR	0.12474	0.0956015
PDYN	0	0
VPS36	2.23375	2.40094
MROH1	9.2841	9.59241
MAG	0	0
SMCHD1	13.0608	13.2371
UROD	31.1178	31.8714
PRKAA2	0.80455	0.713244
MYO3A	0	0
FBXL7	0.199621	0.200588
EFCAB14	17.8269	17.529
SDS	0	0
TINF2	12.4587	12.7761
PA2G4	105.199	107.341
SDPR	0.0132623	0.0126521
KRTAP9-7	0	0
LHFPL4	0	0
RAPGEF2	7.48255	9.24873
RIMBP3B	0.174427	0.13236
PDE4C	0.110322	0.0345892
ADAM22	2.18318	1.9307
ZNF557	2.13201	2.01492
LYSMD2	5.18817	5.31813
AC008948.1	0	0
ATHL1	5.72169	6.24965
TYW1	8.96844	10.46
TTC7A	1.15431	0.995181
TMSB4X	152.789	163.547
NSG1	0.672658	0.854061
POM121L7	0	0
SCG5	0.100377	0.0387828
F13A1	0.0105254	0
ATRX	6.95231	7.05756
CLCN4	4.55091	5.16297
PICK1	25.1518	22.9469
PTTG1IP	37.6107	38.4524
WDSUB1	2.05378	2.39143
PDGFRL	1.21605	1.22347
CCDC108	0.271297	0.573696
WFDC13	0	0
GSTA5	0	0
CARTPT	0.849506	0.523494
AC017028.1	0	0
LCE1D	0	0
PDXK	12.8319	12.7256
GNB3	0.118632	0.067977
STK11IP	2.98086	3.07766
OIT3	0	0
ZNF438	1.1335	1.43577
KRTAP20-4	0	0
KDM4C	6.36159	6.47881
RMI1	10.638	11.4489
HIST1H3G	0	0
TGM2	0.176864	0.0633059
TIMM13	74.0239	68.8698
POT1	9.34515	11.0796
S100A10	0.781573	0.871684
SEC24B	7.33962	7.14671
AC005493.1	0	0
ZNF136	1.3143	1.79589
FRMPD2	2.0459	1.80593
PSMC2	57.4293	58.0459
TAF15	136.209	126.78
GZMA	0	0
FOXS1	0	0
TAS2R41	0	0
AMOTL1	0.582169	0.602212
DAPK2	2.37605	2.17047
USP11	21.2262	23.9091
NGB	0	0
BARX1	0.446608	0.285387
SGCE	0.0344082	0
RPS10-NUDT3	13.512	6.9643
HES2	0.623077	0.483767
TEP1	3.23105	2.12508
CASP10	0.373274	0.312565
FLG2	0	0.00422666
ASB10	0	0
PRRX1	0	0
MYH2	0	0.0161085
SAP130	7.2301	9.19641
PCED1B	0.653165	0.325068
MTUS2	0.00876771	0.00836052
PDE6A	0	0
CPN2	0	0.0407243
PKN1	80.2766	76.2635
DNPH1	250.764	239.005
PES1	50.2275	46.6065
KRTAP10-1	0	0
PSD2	0.018502	0.0176436
METTL16	7.93543	9.80172
EBLN1	0	0
PARP8	5.64397	2.07223
CCDC41	3.50818	3.63551
OR5AK2	0	0
GIN1	2.76104	3.0757
DPYSL3	1.53733	1.03701
AC018867.2	0	0
EDN3	0	0
KDELR1	56.7021	55.3132
CTB-167G5.5	0	0
FANCC	2.53742	2.87101
CTD-2192J16.24	7.22506e-34	4.59073e-42
GABRR2	0	0
MAGEC1	0	0
PP13004	0	0
RABL3	18.2924	18.3799
RFX1	3.08382	3.34974
VARS	41.2522	41.4829
ARID4A	2.09962	2.47345
C7orf65	0	0
KTI12	4.20907	4.81924
WISP3	0.0349988	0.100209
CCNC	20.9314	21.6902
SOCS5	1.33066	1.33436
DMXL2	3.4592	3.83183
ZNF728	0.337158	0.171704
FAM49B	11.0622	11.2003
CYP4A11	0	0
C9orf163	0.323831	0.455442
PORCN	5.64934	5.85263
SLC9B2	4.65776	3.80859
FAM160A1	4.50661	3.42337
MLF1	8.5769	10.1668
CCDC142	0.926081	1.04016
BPIFB2	0	0
AL139099.1	0.662726	0.870585
DGKA	1.21054	2.91406
PASD1	0.0135646	0.0258818
AL031666.2	0	0
FLJ20373	6.17227e-61	2.11883e-28
ARHGAP10	4.17892	4.09326
RP11-297M9.1	0	0
TMEM2	2.68862	2.80194
NIN	5.46978	5.84483
BDNF	0.011188	0.0106711
BRINP1	0.0568247	0.0546508
GTF2IRD2	23.9111	20.5804
MAOB	0	0
CDY2A	0	0
TDRD10	0	0
PRICKLE3	5.08038	4.74785
ATP13A1	32.9748	31.1531
ZNF630	0.0536125	0.0342715
TTC22	0.038287	0
GAL3ST4	0.0380176	0.0181412
JOSD1	10.7798	14.4669
AP1M2	81.3433	80.5069
EIF2AK3	4.87366	4.75615
PHYHIPL	0.0356468	0.0113328
NUP160	7.28107	6.75382
IARS2	41.571	42.0176
MBD6	27.6351	24.5039
CCDC102B	0.0430989	0.138519
PIM1	2.29151	2.35985
CLEC16A	4.8192	6.08196
GNAT3	0	0
OGDHL	5.19506	4.62278
HNF4A	0.0386117	0
PCNXL2	5.1796	5.39427
EFCAB4A	39.5575	38.5739
FARP1	7.59469	8.29984
CASP3	11.6835	10.1287
AC061975.10	0	0
IL1A	0	0
IL2RB	0.132363	0.0194809
WDR70	9.37758	9.52828
WDR27	3.64035	3.59249
TTC13	3.15466	3.29855
HSD17B2	0	0
DPP3	26.0882	26.4072
SLC7A14	0	0
ZNF333	1.75452	1.60903
KIF1C	29.7709	24.6631
PCK2	186.567	182.848
RNF31	13.3813	12.3873
CAND2	0.0820986	0.0260962
AZGP1	48.8886	48.9864
RAB9B	0.270828	0.2045
FKBP5	12.8744	13.304
OTUD1	1.68515	1.63406
TMEM176B	0.136799	0.130933
USP24	3.01384	3.23286
AP1B1	33.2266	31.709
BTBD10	8.40411	10.2908
RTTN	0.43966	0.694472
ARSH	0	0
LLGL2	13.4085	14.9653
FPGS	38.06	35.7895
LEPROT	3.63444	3.62024
TTLL9	0.0789225	0.0636524
AC111200.1	0	0
POLDIP3	26.2274	26.3704
GATA2	81.1194	76.8096
RAB5C	92.7923	92.1174
OTUD5	21.8497	20.31
GJA10	0	0
GCSAM	0	0.0122103
TLR5	0.280371	0.274773
IKZF3	0.288214	0.431732
OR6C76	0	0
MESP1	8.35459	8.13514
DOCK10	0.0336838	0.0214162
XYLT1	0	0.00777928
DLAT	17.0522	17.4774
XYLT2	8.36909	8.16413
SERINC5	58.3476	58.4284
RP11-1055B8.7	2.84235	2.70061
ABCD3	19.2889	18.8798
EHBP1	7.98412	6.93725
KRT34	0	0
RP11-706O15.1	3.63871	2.78573
ZNF792	1.05227	0.931187
CCDC24	7.6434	6.52518
TMOD2	0.961888	1.00326
ASTN1	0.0115101	0.0439192
DCLK1	0	0
ZNF782	1.52379	0.993912
BACH2	0.229797	0.0302611
DNLZ	42.0363	44.989
FMR1	12.103	10.6556
ZMAT4	0	0.0378253
PRRG1	11.0415	9.84064
OGFRL1	2.11272	2.235
HIST2H2BF	2.35085	2.34451
HECA	1.5867	1.63886
CLDN9	0.088143	0.126243
CCL5	0.040226	0
CCT8	107.519	113.547
MRPL52	107.194	98.8764
SMYD1	0	0
APOA1	0.17864	0.114125
PRLH	0	0
C8orf86	0	0
HIST1H4D	0	0
TMEM126B	22.8504	26.8825
CRK	12.7798	13.2272
PP2D1	0	0
MOB3A	31.4194	31.7614
STAT5A	1.56656	1.54408
FOXJ2	3.46593	3.54828
EPGN	0	0
SPANXA1	0	0
CLVS2	0	0
LSP1	0	0
RPTN	0	0
SLC22A6	0	0
OR5H2	0	0
ZNHIT6	6.29415	6.68288
