Node	OR	p	cluster_type2	Uniquely_enriched
EHMT2	6.59728633526713	3.08737891280953e-36	8.+.+	0
NCL	6.55369993735403	4.13845265191677e-18	8.+.+	0
GTF2H1	6.54465023500071	7.96333226553902e-48	8.+.+	0
ARID2	6.49745707201832	6.03593447319397e-44	8.+.+	0
CSNK2A1	6.37614364863722	6.41995785281217e-29	8.+.+	0
BAZ1A	6.37406212154711	2.49222145199176e-46	8.+.+	0
DYNLL2	6.34142598145295	2.65305345805087e-24	8.+.+	0
YAF2	6.30641516264846	6.22292413904642e-44	8.+.+	0
TCF12	6.29667368232669	1.13532353733119e-45	8.+.+	0
MDM4	6.27090925192246	3.50039493454737e-45	8.+.+	0
XIAP	6.26830238992363	2.22433646101754e-35	8.+.+	0
HTT	6.21822939834209	1.57835842258649e-31	8.+.+	0
NFYB	6.21187156631011	9.48449258091748e-20	8.+.+	0
PRPF6	6.19389345769565	1.18654493566297e-21	8.+.+	0
WDR77	6.19389345769565	1.18654493566297e-21	8.+.+	0
SIRT6	6.19004987256668	1.63454561974208e-33	8.+.+	0
CALM1	6.17002015164516	2.01732579661699e-33	8.+.+	0
NR1H3	6.16879442424698	8.33169937709057e-08	8.+.+	0
ADNP	6.15652039775086	1.79740411939504e-26	8.+.+	0
EFTUD2	6.12928615726794	8.7343260058487e-26	8.+.+	0
BIRC2	6.11008963020067	1.48822391581449e-44	8.+.+	0
CCNDBP1	6.09145759343538	3.44159459733769e-30	8.+.+	0
PPP2R1A	6.0640952543541	0.000236951531441775	8.+.+	0
YWHAB	6.05713967903971	8.87561639872861e-30	8.+.+	0
ZNF587	6.04325876726327	2.21852566621706e-14	8.+.+	0
LMNA	6.04177354502305	1.73093744083452e-25	8.+.+	0
LDOC1	6.01524835591954	1.37713765761463e-19	8.+.+	0
JDP2	6.00831301482094	1.40809077565136e-06	8.+.+	0
TP53BP2	5.99472912899294	7.48305918083097e-20	8.+.+	0
TOPORS	5.95200087898121	0.0678208983147292	8.+.+	0
DNMT1	5.94514018213119	3.05588147277884e-28	8.+.+	0
NMI	5.93126932099446	6.25952488681624e-21	8.+.+	0
STK19	5.87858930579655	2.90692923652755e-37	8.+.+	0
RPL11	5.87166534412285	1.86293272304413e-20	8.+.+	0
SRRM2	5.84566673021642	2.59785191679938e-39	8.+.+	0
PSMA1	5.83629692558378	1.75579566881179e-42	8.+.+	0
MLLT6	5.81173411910578	5.51781573437384e-20	8.+.+	0
BCL2	5.79545978370739	9.6885844642996e-22	8.+.+	0
MAFK	5.7836172148418	3.95148655647594e-07	8.+.+	0
PDS5A	5.76872857753373	2.30989603450803e-21	8.+.+	0
XPO1	5.76010681394166	3.62030373065274e-36	8.+.+	0
RBL2	5.75521027712187	3.40171914972923e-42	8.+.+	0
TSC22D3	5.68273682043365	4.4512718101108e-40	8.+.+	0
FOXO3	5.67779855711316	8.55984132042048e-21	8.+.+	0
DPF2	5.6644708642203	3.7422482955482e-17	8.+.+	0
ERCC3	5.65186230216317	1.77394796606302e-25	8.+.+	0
SORBS3	5.64935248745934	0.00191294470776455	8.+.+	0
PSMD4	5.63267105676865	1.04995644560781e-33	8.+.+	0
PHB	5.59740004064169	6.07067132024596e-41	8.+.+	0
FANCL	5.59486203714356	2.5772495021045e-11	8.+.+	0
CSNK1E	5.57271900728072	1.24898054296498e-10	8.+.+	0
CHCHD2	5.56864669128268	1.21668442091998e-29	8.+.+	0
EXOSC1	5.56864669128268	1.21668442091998e-29	8.+.+	0
HAT1	5.56864669128268	1.21668442091998e-29	8.+.+	0
MAGOHB	5.56864669128268	1.21668442091998e-29	8.+.+	0
MRPL10	5.56864669128268	1.21668442091998e-29	8.+.+	0
NOL9	5.56864669128268	1.21668442091998e-29	8.+.+	0
POLR1A	5.56864669128268	1.21668442091998e-29	8.+.+	0
PTGER3	5.56864669128268	1.21668442091998e-29	8.+.+	0
EYA2	5.56519291585672	1.08505362724098e-34	8.+.+	0
L3MBTL2	5.54060633605532	2.85990313007262e-35	8.+.+	0
PCGF6	5.54060633605532	2.85990313007262e-35	8.+.+	0
SMC3	5.53863431320358	1.29662215622417e-22	8.+.+	0
C1orf109	5.51666238488275	9.43697198062344e-31	8.+.+	0
NFKBIA	5.51028019952009	2.96841556230944e-39	8.+.+	0
BCL3	5.5018399413702	3.78968786431219e-38	8.+.+	0
RPS3	5.49877884181315	6.99377278760625e-38	8.+.+	0
CDKN2C	5.49103718603382	1.75170021897631e-31	8.+.+	0
IKBKG	5.48875989328813	2.86746043164657e-39	8.+.+	0
MAPK1	5.48641608064139	3.77003503297474e-20	8.+.+	0
CCT4	5.47956617000433	7.94891959100753e-26	8.+.+	0
CCT5	5.47956617000433	7.94891959100753e-26	8.+.+	0
ORC4	5.47513750490634	1.20037355031548e-29	8.+.+	0
UBTF	5.44501926399152	1.9796032176586e-25	8.+.+	0
YEATS4	5.43461711545881	2.97436904100462e-22	8.+.+	0
NEDD9	5.42362201918419	1.53315262700995e-32	8.+.+	0
PSMA5	5.38478214430413	4.47770242688194e-22	8.+.+	0
ZMYND8	5.38187343000689	1.93410917533771e-36	8.+.+	0
UXT	5.3635362086861	3.12437513191161e-15	8.+.+	0
CDYL	5.2671583924304	5.59927211000221e-35	8.+.+	0
SRPK2	5.26030302017913	0.000233677587314595	8.+.+	0
PKM	5.25719539897855	6.1084909066706e-19	8.+.+	0
SUFU	5.24133251408123	1.06224898556241e-26	8.+.+	0
KPNA2	5.23407179919476	8.4784750086137e-37	8.+.+	0
ECSIT	5.18676135581415	2.31360395262949e-35	8.+.+	0
ELF1	5.17466363868841	2.39384758854801e-32	8.+.+	0
SREBF1	5.11455457641052	3.98025267078829e-37	8.+.+	0
FOS	5.10687209532355	5.16634266633695e-15	8.+.+	0
DDX5	5.10101640142007	1.38890778371821e-25	8.+.+	0
ZNF688	5.098818370623	5.85094982014178e-29	8.+.+	0
SHMT2	5.09619043872332	6.25061686054757e-05	8.+.+	0
SLC2A1	5.09619043872332	6.25061686054757e-05	8.+.+	0
DNAJA3	5.06616837145617	5.57335769626166e-28	8.+.+	0
CHD8	5.05469476308372	1.49476113082752e-30	8.+.+	0
CHUK	5.02755231733984	5.88379590148362e-36	8.+.+	0
TFEB	5.00377478567494	0.00689873139693277	8.+.+	0
HIF1AN	5.00314679475107	4.42578734041563e-23	8.+.+	0
GTF2I	4.98929091956183	3.63677000383884e-27	8.+.+	0
CEBPD	4.9642683941055	6.25076233558848e-33	8.+.+	0
NR2C2AP	4.94129597699773	1.89425847175194e-35	8.+.+	0
MSH3	4.93190911305658	1.54343359901956e-22	8.+.+	0
IPO4	4.91738767573226	3.21520763656397e-12	8.+.+	0
CREBZF	4.91473191998075	0.00016942067196074	8.+.+	0
CALCOCO2	4.90253153013603	8.40549888664611e-20	8.+.+	0
BCL6	4.89735101388716	4.30387305803595e-34	8.+.+	0
TXNL4B	4.86982904115442	1.81067016459626e-31	8.+.+	0
CTR9	4.84456108342134	1.43246387858619e-34	8.+.+	0
U2AF2	4.84237736909385	2.21749187574961e-25	8.+.+	0
MEN1	4.82616658135813	3.46704510366896e-26	8.+.+	0
CHAF1A	4.82239235981825	1.48300156787815e-31	8.+.+	0
SIRT1	4.8158441776016	1.70610704509298e-21	8.+.+	0
ZNF451	4.80814984863375	9.78544524711158e-17	8.+.+	0
FOXO4	4.80403441611911	0.00175539517788133	8.+.+	0
TXN	4.80164255403491	1.30350581139415e-32	8.+.+	0
SF3B1	4.79169290442326	1.81060876244841e-28	8.+.+	0
ARNTL	4.75780256787727	2.17920236376973e-07	8.+.+	0
PRDX1	4.73557281435958	1.31656991133999e-23	8.+.+	0
BTRC	4.72641975399251	2.10758247302536e-16	8.+.+	0
CUL2	4.71630364799724	3.4599516260129e-15	8.+.+	0
ASAP3	4.71305982927018	0.000455999108615827	8.+.+	0
DDX6	4.70792859276598	1.90929605541441e-28	8.+.+	0
CDK9	4.69528811923851	2.12052655666149e-32	8.+.+	0
UTP23	4.69164881284723	3.11915165183912e-19	8.+.+	0
OGT	4.68563652787231	3.0558234532899e-32	8.+.+	0
NR2F1	4.66763550517507	0.000119677133575227	8.+.+	0
KPNA4	4.66586075449619	1.14850445427241e-23	8.+.+	0
PPP1CB	4.66189158972041	2.51034293336526e-10	8.+.+	0
DNMT3A	4.65751939027517	9.70472329850218e-17	8.+.+	0
NFYA	4.65228232099817	7.12068994913517e-29	8.+.+	0
ARIH2	4.63982618879558	6.95766956725309e-12	8.+.+	0
UBE2K	4.63982618879558	6.95766956725309e-12	8.+.+	0
DHX9	4.63287861082346	1.23951545203002e-08	8.+.+	0
MTDH	4.63287861082346	1.23951545203002e-08	8.+.+	0
PPM1G	4.59579316438111	6.80188016246535e-05	8.+.+	0
RUNX1	4.5829533611272	7.87824505755432e-22	8.+.+	0
TRIM21	4.57632208739085	1.14966521847869e-19	8.+.+	0
RNF6	4.57178064962022	4.92773409106845e-30	8.+.+	0
AQP1	4.52976140741793	1.07277808765946e-25	8.+.+	0
ARL6IP4	4.52483766996297	4.02368934872295e-18	8.+.+	0
FOXK2	4.51002920652238	4.09157275743856e-25	8.+.+	0
IRAK1	4.49348748678092	1.38674896145938e-22	8.+.+	0
UBE2Z	4.48514255737577	0.00121705916111372	8.+.+	0
CDC25A	4.48161710020751	4.81598321451522e-07	8.+.+	0
FLNA	4.47312265962473	1.750240564157e-31	8.+.+	0
EIF5A	4.45986738329199	6.85392210555358e-09	8.+.+	0
SQSTM1	4.42510188208565	8.63466081973815e-23	8.+.+	0
POLR2A	4.42116545653129	6.97401000323747e-31	8.+.+	0
ARID4B	4.41719778145674	1.48332495159529e-08	8.+.+	0
RPL30	4.39820586577026	5.80480880638702e-17	8.+.+	0
GTF3C5	4.38666007140541	8.46532944324063e-11	8.+.+	0
FBXW11	4.37794663760402	8.94631229388271e-23	8.+.+	0
MYBBP1A	4.37406848538886	1.28048969495804e-20	8.+.+	0
CARM1	4.37209643700105	1.08778629748724e-30	8.+.+	0
STIP1	4.37054826968688	9.30131441799991e-10	8.+.+	0
CDK7	4.36839081774706	1.68531217689204e-09	8.+.+	0
PTEN	4.36839081774706	1.68531217689204e-09	8.+.+	0
RCHY1	4.36839081774706	1.68531217689204e-09	8.+.+	0
USP10	4.36839081774706	1.68531217689204e-09	8.+.+	0
ZMIZ1	4.36839081774706	1.68531217689204e-09	8.+.+	0
AXIN1	4.31916781947585	2.38161539042435e-20	8.+.+	0
HIF1A	4.29692816985852	1.40484159647705e-11	8.+.+	0
BAG5	4.29669178654752	2.92879823031117e-15	8.+.+	0
ATXN1	4.2676232387336	2.56557784349526e-17	8.+.+	0
S100A4	4.25009733280383	3.84724563161462e-24	8.+.+	0
AHCY	4.236071714975	1.69735469073578e-08	8.+.+	0
ANXA1	4.23116430047843	8.62630267158266e-13	8.+.+	0
NONO	4.22955451539115	3.85182294189891e-19	8.+.+	0
MORF4L1	4.2263109130525	2.37119096844077e-14	8.+.+	0
BRD4	4.21012510069828	7.17626450066025e-11	8.+.+	0
CGGBP1	4.20434255049744	2.51090360888261e-11	8.+.+	0
ARNT2	4.16742315486217	0.0128137448824191	8.+.+	0
EZH2	4.16623133189351	8.64057119896277e-26	8.+.+	0
CHEK2	4.15958514048304	1.33188615479743e-08	8.+.+	0
COPS4	4.15958514048304	1.33188615479743e-08	8.+.+	0
PPP2CA	4.15269828607627	9.2735116767716e-23	8.+.+	0
MED13	4.12664489116241	4.5068109424342e-07	8.+.+	0
PELP1	4.10714239228004	4.21059181419725e-28	8.+.+	0
XBP1	4.10298947116146	0.00700872384434956	8.+.+	0
SPOP	4.08516523933002	1.49073723553172e-25	8.+.+	0
TRIM24	4.07421825963637	3.97765712650372e-25	8.+.+	0
CDC5L	4.0707609760814	8.01056764867142e-21	8.+.+	0
VRK2	4.06856607441542	0.0542509717057157	8.+.+	0
GRB2	4.06258980186655	2.19651050472254e-27	8.+.+	0
TCEA2	4.06009035003843	3.85416976204157e-25	8.+.+	0
NEK6	4.05920198993997	3.73746876962809e-24	8.+.+	0
ACTL6A	4.05568969300955	6.07443163173585e-28	8.+.+	0
USF2	4.0553875555815	1.2233256257936e-08	8.+.+	0
PPP1CA	4.05042534276813	3.58680214437057e-19	8.+.+	0
PIAS2	4.03020666400671	2.725245614131e-23	8.+.+	0
FOXP3	4.02169888795262	3.55608784716751e-10	8.+.+	0
JMJD1C	4.00924542566986	2.27921747231173e-10	8.+.+	0
SART3	4.00924542566986	2.27921747231173e-10	8.+.+	0
RUVBL2	3.97060573431338	7.75143867023264e-27	8.+.+	0
SRPK1	3.96575242913765	4.898865350349e-10	8.+.+	0
USP11	3.96517052928303	1.36324894539699e-26	8.+.+	0
RBM39	3.95572822238397	8.37888440897796e-18	8.+.+	0
HIPK2	3.94708644347066	4.93492570869807e-07	8.+.+	0
MAP2K1	3.93135811013078	8.07867804772958e-11	8.+.+	0
TAF1	3.92853367942533	3.23903810445492e-21	8.+.+	0
FANCG	3.92393322347777	0.0083791574095152	8.+.+	0
PRDM10	3.92208681344856	4.35772152442051e-05	8.+.+	0
ARNT	3.91445692612569	1.26998582228477e-18	8.+.+	0
CHD3	3.89609694095693	4.82955010557529e-24	8.+.+	0
PDGFRB	3.89023851845619	1.04141321284526e-06	8.+.+	0
MAPKAPK2	3.88869027959935	6.59063335873508e-26	8.+.+	0
TLE1	3.88766783525851	3.55929818922101e-25	8.+.+	0
RBBP6	3.87675404614348	5.00412505354778e-10	8.+.+	0
TUBA1A	3.87675404614348	5.00412505354778e-10	8.+.+	0
TCF7L2	3.86210840663959	7.37619175244047e-14	8.+.+	0
LIG3	3.85134874323925	3.21441040819984e-11	8.+.+	0
IKBKE	3.84271686784996	5.94408299079344e-21	8.+.+	0
MEIS1	3.84183506172413	6.50376054596619e-15	8.+.+	0
SMARCB1	3.82565954494694	2.77034719934642e-16	8.+.+	0
TWIST1	3.81667671900765	3.96157663645008e-23	8.+.+	0
MAD2L2	3.80332035648508	1.67041554989702e-25	8.+.+	0
ACLY	3.80082272690679	0.000934393267008901	8.+.+	0
CLK3	3.80082272690679	0.000934393267008901	8.+.+	0
FXR2	3.80082272690679	0.000934393267008901	8.+.+	0
TRIP4	3.79749959368093	2.33092510701827e-25	8.+.+	0
HIPK3	3.796719730756	2.36980577721565e-14	8.+.+	0
BHLHE41	3.79024224307036	0.00167643571654396	8.+.+	0
PSMD11	3.76628687236957	6.83576392401137e-19	8.+.+	0
CALR	3.76462428589534	2.52568258651606e-17	8.+.+	0
BRMS1	3.75762975724736	6.09267832657841e-07	8.+.+	0
PPARD	3.7487163772558	0.0182458261371431	8.+.+	0
PCBP1	3.73262927322655	4.2278774397188e-20	8.+.+	0
CDKN1A	3.72851114373034	2.61341775819803e-24	8.+.+	0
MAP3K7	3.72605463945267	0.00061382351432803	8.+.+	0
CHD4	3.7079520010388	2.86536059275907e-21	8.+.+	0
IRF7	3.68713441483457	0.00197122775223258	8.+.+	0
SUZ12	3.65685166297941	2.59498842938908e-24	8.+.+	0
CCNK	3.64622035085824	0.000147678569478232	8.+.+	0
PCNA	3.61185126218784	4.01080756154497e-09	8.+.+	0
MEF2A	3.61113335274192	1.11293310940618e-06	8.+.+	0
TRIB3	3.60801970413888	0.0116790949304509	8.+.+	0
WWTR1	3.60801970413888	0.0116790949304509	8.+.+	0
PPP1CC	3.57624594400528	6.63806482028475e-15	8.+.+	0
HSPA5	3.57623762033552	1.28806960280449e-06	8.+.+	0
MAFG	3.573748575241	1.23762640897144e-07	8.+.+	0
SAP30	3.573748575241	1.23762640897144e-07	8.+.+	0
HSPB1	3.56973599760347	1.51605814125321e-22	8.+.+	0
TRIM33	3.55364988758868	5.78980422835331e-21	8.+.+	0
PHF1	3.55337349589154	5.65691099091236e-13	8.+.+	0
MNT	3.54926652047831	9.76496757049652e-06	8.+.+	0
NXT2	3.54303801010364	9.14353851385141e-08	8.+.+	0
CREM	3.54088309519856	7.00604159316945e-10	8.+.+	0
L3MBTL3	3.52505334836512	0.000199635840879686	8.+.+	0
