Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FoxO signaling pathway	5/131	2.6885330025992274E-7	1.3442665012996137E-6	0	0	46.33986928104575	701.0805144073466	SMAD4;CREBBP;MAPK8;MAPK1;MAPK3
Yersinia infection	5/137	3.360440433550591E-7	1.6277133350010676E-6	0	0	44.22014260249554	659.1464894121091	GSK3B;MAPK8;MAPK1;FOS;MAPK3
Endometrial cancer	4/58	4.4785104041138304E-7	2.1035427655686173E-6	0	0	81.9917695473251	1198.6217036460414	GSK3B;CTNNB1;MAPK1;MAPK3
Cushing syndrome	5/155	6.203782552948107E-7	2.8281949873734014E-6	0	0	38.87843137254902	555.6869491071132	GSK3B;CDK6;CTNNB1;MAPK1;MAPK3
MicroRNAs in cancer	6/310	7.997539269370451E-7	3.5417673907212E-6	0	0	24.26891447368421	340.7103619596697	HDAC2;CREBBP;UBE2I;CDK6;MAPK1;MAPK3
Wnt signaling pathway	5/166	8.710337910606499E-7	3.750284378177798E-6	0	0	36.20204603580563	505.1483288927141	GSK3B;SMAD4;CREBBP;MAPK8;CTNNB1
Renal cell carcinoma	4/69	9.053510734077099E-7	3.7926869291404068E-6	0	0	68.07863247863249	947.310293321039	CREBBP;MAPK1;HIF1A;MAPK3
Pertussis	4/76	1.3368421730610927E-6	5.452908863801825E-6	0	0	61.43827160493827	830.9649303038887	MAPK8;MAPK1;FOS;MAPK3
B cell receptor signaling pathway	4/81	1.7273611798888989E-6	6.865153407250752E-6	0	0	57.43434343434343	762.0914580699962	GSK3B;MAPK1;FOS;MAPK3
ErbB signaling pathway	4/85	2.0961630959571405E-6	8.12263199683392E-6	0	0	54.58710562414266	713.7483490464186	GSK3B;MAPK8;MAPK1;MAPK3
Focal adhesion	5/201	2.235095744372838E-6	8.449752204336338E-6	0	0	29.68487394957983	386.23661834952173	GSK3B;MAPK8;CTNNB1;MAPK1;MAPK3
Proteoglycans in cancer	5/205	2.461937014865132E-6	9.08524992577469E-6	0	0	29.08529411764706	375.6238374701259	SMAD2;CTNNB1;MAPK1;HIF1A;MAPK3
PD-L1 expression and PD-1 checkpoint pathway in cancer	4/89	2.520424172956849E-6	9.08524992577469E-6	0	0	52.0078431372549	670.437440632254	MAPK1;FOS;HIF1A;MAPK3
Th1 and Th2 cell differentiation	4/92	2.8781019219131414E-6	1.0138768134012204E-5	0	0	50.22727272727273	640.8186085117143	MAPK8;MAPK1;FOS;MAPK3
Lipid and atherosclerosis	5/215	3.108914041521679E-6	1.0708481698574672E-5	0	0	27.686274509803923	351.09621079736155	GSK3B;MAPK8;MAPK1;FOS;MAPK3
cAMP signaling pathway	5/216	3.1803204405383215E-6	1.0716297136596517E-5	0	0	27.5536660161695	348.78886926702467	CREBBP;MAPK8;MAPK1;FOS;MAPK3
Human cytomegalovirus infection	5/225	3.882822844295083E-6	1.2805054060973148E-5	0	0	26.414438502673796	329.096119231908	GSK3B;CDK6;CTNNB1;MAPK1;MAPK3
Progesterone-mediated oocyte maturation	4/100	4.015814340350795E-6	1.2967733807382774E-5	0	0	46.023148148148145	571.8500607054012	MAPK8;MAPK1;PGR;MAPK3
Coronavirus disease	5/232	4.5092101338289464E-6	1.4263827974356873E-5	0	0	25.590826639025654	315.007428579525	MAPK8;MAPK1;FOS;UBA52;MAPK3
Toll-like receptor signaling pathway	4/104	4.695487347735517E-6	1.4556010777980102E-5	0	0	44.17333333333333	541.9585913998206	MAPK8;MAPK1;FOS;MAPK3
Parathyroid hormone synthesis, secretion and action	4/106	5.065568928860336E-6	1.5395356548497098E-5	0	0	43.30283224400871	527.9933432507723	JUND;MAPK1;FOS;MAPK3
HIF-1 signaling pathway	4/109	5.660610305750462E-6	1.6872973026756184E-5	0	0	42.05925925925926	508.1590805516886	CREBBP;MAPK1;HIF1A;MAPK3
Shigellosis	5/246	5.9990814105953625E-6	1.754448337060908E-5	0	0	24.08713692946058	289.62142686058746	GSK3B;MAPK8;MAPK1;UBA52;MAPK3
TNF signaling pathway	4/112	6.305860445844896E-6	1.793338136831702E-5	0	0	40.88477366255144	489.5555524746674	MAPK8;MAPK1;FOS;MAPK3
Salmonella infection	5/249	6.363457904886684E-6	1.793338136831702E-5	0	0	23.787367405978785	284.6143912442241	MAPK8;CTNNB1;MAPK1;FOS;MAPK3
Neurotrophin signaling pathway	4/119	8.021680393248588E-6	2.22028653741702E-5	0	0	38.38260869565217	450.3570666147468	GSK3B;MAPK8;MAPK1;MAPK3
Thyroid cancer	3/37	8.760220169490006E-6	2.382165133808686E-5	0	0	92.61919504643963	1078.577341409245	CTNNB1;MAPK1;MAPK3
Pathways of neurodegeneration	6/475	9.388790948570874E-6	2.5090734431525614E-5	0	0	15.598880597014926	180.5725487048018	GSK3B;MAPK8;CTNNB1;MAPK1;UBA52;MAPK3
Apelin signaling pathway	4/137	1.4004054579607567E-5	3.501013644901892E-5	0	0	33.1578947368421	370.5780581154342	SMAD2;SMAD4;MAPK1;MAPK3
Autophagy	4/137	1.4004054579607567E-5	3.501013644901892E-5	0	0	33.1578947368421	370.5780581154342	MAPK8;MAPK1;HIF1A;MAPK3
Estrogen signaling pathway	4/137	1.4004054579607567E-5	3.501013644901892E-5	0	0	33.1578947368421	370.5780581154342	MAPK1;PGR;FOS;MAPK3
Insulin signaling pathway	4/137	1.4004054579607567E-5	3.501013644901892E-5	0	0	33.1578947368421	370.5780581154342	GSK3B;MAPK8;MAPK1;MAPK3
MAPK signaling pathway	5/294	1.4229958991260946E-5	3.5010216565800746E-5	0	0	20.0376552004885	223.62345865533504	MAPK8;JUND;MAPK1;FOS;MAPK3
Measles	4/139	1.4828004496722303E-5	3.591157339049933E-5	0	0	32.663374485596705	363.1838312627837	GSK3B;MAPK8;CDK6;FOS
Apoptosis	4/142	1.6130209096747068E-5	3.846434476916609E-5	0	0	31.948470209339774	352.5455126914373	MAPK8;MAPK1;FOS;MAPK3
Type II diabetes mellitus	3/46	1.700526267741443E-5	3.993660174241268E-5	0	0	73.20073439412485	803.8895642022711	MAPK8;MAPK1;MAPK3
Cellular senescence	4/156	2.3349233126976616E-5	5.4016882607184704E-5	0	0	28.985380116959064	309.12752582132424	SMAD2;CDK6;MAPK1;MAPK3
Hippo signaling pathway	4/163	2.773700521314117E-5	6.322405600054237E-5	0	0	27.699510831586302	290.64385137467633	SMAD2;GSK3B;SMAD4;CTNNB1
Influenza A	4/172	3.423349954830599E-5	7.69013395650352E-5	0	0	26.203703703703702	269.43449652245187	CREBBP;CDK6;MAPK1;MAPK3
Notch signaling pathway	3/59	3.608239052024257E-5	7.989672186625142E-5	0	0	56.171052631578945	574.6133321608562	NCOR2;HDAC2;CREBBP
Tuberculosis	4/180	4.0888671382479965E-5	8.926400090541401E-5	0	0	25.002525252525253	252.6419547268088	CREBBP;MAPK8;MAPK1;MAPK3
Alzheimer disease	5/369	4.230410684675942E-5	9.107134112844042E-5	0	0	15.84841628959276	159.60347929475782	GSK3B;MAPK8;CTNNB1;MAPK1;MAPK3
Alcoholism	4/186	4.646836845517247E-5	9.866571384317442E-5	0	0	24.17094017094017	241.14715482599343	HDAC2;HDAC3;MAPK1;MAPK3
Neutrophil extracellular trap formation	4/189	4.945814382159959E-5	1.0359476070740455E-4	0	0	23.775375375375376	235.7181970657461	HDAC2;HDAC3;MAPK1;MAPK3
Long-term potentiation	3/67	5.286868851405455E-5	1.0926195626237942E-4	0	0	49.129934210526315	483.81681843371445	CREBBP;MAPK1;MAPK3
Fc epsilon RI signaling pathway	3/68	5.5269411126455066E-5	1.1125660681299397E-4	0	0	48.37165991902834	474.20145575930775	MAPK8;MAPK1;MAPK3
Mitophagy	3/68	5.5269411126455066E-5	1.1125660681299397E-4	0	0	48.37165991902834	474.20145575930775	MAPK8;HIF1A;UBA52
Pathogenic Escherichia coli infection	4/197	5.811855394230959E-5	1.1549199821869214E-4	0	0	22.780656303972368	222.18032412026548	MAPK8;MAPK1;FOS;MAPK3
Central carbon metabolism in cancer	3/70	6.0282980376351684E-5	1.1827673364980394E-4	0	0	46.923016496465046	455.9256477413351	MAPK1;HIF1A;MAPK3
Epstein-Barr virus infection	4/202	6.406478648289273E-5	1.2397293589860807E-4	0	0	22.199775533108866	214.35250112574823	NCOR2;HDAC2;MAPK8;CDK6
Melanoma	3/72	6.558568221732814E-5	1.2397293589860807E-4	0	0	45.558352402745996	438.8250273642971	CDK6;MAPK1;MAPK3
Non-small cell lung cancer	3/72	6.558568221732814E-5	1.2397293589860807E-4	0	0	45.558352402745996	438.8250273642971	CDK6;MAPK1;MAPK3
Glioma	3/75	7.409829587778673E-5	1.3837633567538485E-4	0	0	43.65350877192982	415.15002056214126	CDK6;MAPK1;MAPK3
Human immunodeficiency virus 1 infection	4/212	7.727481076189553E-5	1.425904246201644E-4	0	0	21.121794871794872	199.984164099874	MAPK8;MAPK1;FOS;MAPK3
Leishmaniasis	3/77	8.015662776590002E-5	1.4616796827899415E-4	0	0	42.469416785206256	400.551493141445	MAPK1;FOS;MAPK3
Non-homologous end-joining	2/13	8.943236467078837E-5	1.611862386508395E-4	0	0	181.51818181818183	1692.1175589643474	XRCC6;XRCC5
Chemical carcinogenesis	4/239	1.2280708631551762E-4	2.1879423424029E-4	0	0	18.66950354609929	168.11693477538495	MAPK1;PGR;FOS;MAPK3
GnRH signaling pathway	3/93	1.4058465454737417E-4	2.476206983504886E-4	0	0	34.89122807017544	309.47475098574995	MAPK8;MAPK1;MAPK3
Circadian entrainment	3/97	1.5927782905655647E-4	2.773939719524298E-4	0	0	33.399776035834265	292.07638310086037	MAPK1;FOS;MAPK3
C-type lectin receptor signaling pathway	3/104	1.957468568356316E-4	3.3711958677247667E-4	0	0	31.07399687337155	265.3311729233719	MAPK8;MAPK1;MAPK3
Prion disease	4/273	2.0463909127526705E-4	3.4856108953479554E-4	0	0	16.28170177612557	138.30105145033397	GSK3B;MAPK8;MAPK1;MAPK3
Toxoplasmosis	3/112	2.4360371097081733E-4	4.1041929565735524E-4	0	0	28.78174794785128	239.46321581922834	MAPK8;MAPK1;MAPK3
Cholinergic synapse	3/113	2.500693323021975E-4	4.167822205036625E-4	0	0	28.51866028708134	236.52727612926944	MAPK1;FOS;MAPK3
Sphingolipid signaling pathway	3/119	2.9120613130839733E-4	4.8018032290214456E-4	0	0	27.035390199637025	220.1080666104974	MAPK8;MAPK1;MAPK3
Oocyte meiosis	3/129	3.6906007143765646E-4	6.021506428719658E-4	0	0	24.87719298245614	196.6430439491986	MAPK1;PGR;MAPK3
Dopaminergic synapse	3/132	3.94779572280116E-4	6.374045177439372E-4	0	0	24.29498164014688	190.40421694213597	GSK3B;MAPK8;FOS
Fluid shear stress and atherosclerosis	3/139	4.592152456050078E-4	7.337975574100641E-4	0	0	23.03637770897833	177.05740356494138	MAPK8;CTNNB1;FOS
Ubiquitin mediated proteolysis	3/140	4.689371038001008E-4	7.416862356022003E-4	0	0	22.867076450249712	175.2770992485151	UBE2I;UBA52;PIAS1
PI3K-Akt signaling pathway	4/354	5.484423457133597E-4	8.548363964933934E-4	0	0	12.462222222222222	93.57170321583311	GSK3B;CDK6;MAPK1;MAPK3
Retrograde endocannabinoid signaling	3/148	5.515073525763828E-4	8.548363964933934E-4	0	0	21.5967332123412	162.0371661324284	MAPK8;MAPK1;MAPK3
mTOR signaling pathway	3/154	6.191847972186941E-4	9.409180742048783E-4	0	0	20.732310909724642	153.15179465807367	GSK3B;MAPK1;MAPK3
Oxytocin signaling pathway	3/154	6.191847972186941E-4	9.409180742048783E-4	0	0	20.732310909724642	153.15179465807367	MAPK1;FOS;MAPK3
Non-alcoholic fatty liver disease	3/155	6.309562704553133E-4	9.494973001997433E-4	0	0	20.594875346260388	151.74868454291303	GSK3B;MAPK8;FOS
Aldosterone-regulated sodium reabsorption	2/37	7.515138680371676E-4	0.0011200447071707787	0	0	56.98	409.88112260467307	MAPK1;MAPK3
Bladder cancer	2/41	9.228275451437206E-4	0.0013622692333073972	0	0	51.12564102564102	357.26946536543915	MAPK1;MAPK3
NOD-like receptor signaling pathway	3/181	9.89060675672424E-4	0.0014462679691436388	0	0	17.563571850975755	121.5180484136885	MAPK8;MAPK1;MAPK3
Axon guidance	3/182	0.0010049217093418895	0.001455727709794326	0	0	17.4645692443399	120.55522569172426	GSK3B;MAPK1;MAPK3
Chemokine signaling pathway	3/192	0.0011724854843877747	0.0016827337970380099	0	0	16.53216374269006	111.56944690401058	GSK3B;MAPK1;MAPK3
Diabetic cardiomyopathy	3/203	0.001376142919863912	0.0019569004823752874	0	0	15.614210526315789	102.87376822343899	SMAD2;GSK3B;MAPK8
Rap1 signaling pathway	3/210	0.0015166523627972346	0.002137101056668831	0	0	15.080854309687261	97.89359200664423	CTNNB1;MAPK1;MAPK3
VEGF signaling pathway	2/59	0.0019026387993678797	0.0026568379630812736	0	0	34.949122807017545	218.93925214748256	MAPK1;MAPK3
Long-term depression	2/60	0.001966938596934448	0.0027221025225432093	0	0	34.3448275862069	214.01213271870947	MAPK1;MAPK3
Ras signaling pathway	3/232	0.0020159885734139676	0.002765294060877566	0	0	13.616869685129855	84.51508427257316	MAPK8;MAPK1;MAPK3
Basal cell carcinoma	2/63	0.0021659750080163095	0.002944966019671298	0	0	32.65081967213115	200.30901302971847	GSK3B;CTNNB1
GnRH secretion	2/64	0.0022343590859898346	0.003011527463725429	0	0	32.12258064516129	196.06983518944284	MAPK1;MAPK3
Acute myeloid leukemia	2/67	0.0024455975557341574	0.003267824320162021	0	0	30.635384615384616	184.22483725138	MAPK1;MAPK3
Amphetamine addiction	2/69	0.00259147399914311	0.0034331493151041202	0	0	29.717910447761195	176.98586125065358	HDAC2;FOS
Gap junction	2/88	0.004175495185413075	0.0054847606249070055	0	0	23.130232558139536	126.71949534645874	MAPK1;MAPK3
Huntington disease	3/306	0.004402551516685833	0.00573441584106138	0	0	10.25273579989578	55.62694619034713	HDAC2;CREBBP;MAPK8
Fc gamma R-mediated phagocytosis	2/97	0.005048397636933295	0.006520846947705506	0	0	20.929473684210528	110.6893806738124	MAPK1;MAPK3
Insulin resistance	2/108	0.0062193835276940865	0.00796697889911226	0	0	18.747169811320756	95.23720656075557	GSK3B;MAPK8
Serotonergic synapse	2/113	0.006788839592670734	0.008625165056261997	0	0	17.898198198198198	89.35631155051506	MAPK1;MAPK3
Glutamatergic synapse	2/114	0.0069054863588978894	0.008702035655521731	0	0	17.7375	88.25185030626267	MAPK1;MAPK3
Platelet activation	2/124	0.008121897105125842	0.010152371381407302	0	0	16.275409836065574	78.33666458241862	MAPK1;MAPK3
Natural killer cell mediated cytotoxicity	2/131	0.009026719548951435	0.01119313224069978	0	0	15.386821705426357	72.43448272713856	MAPK1;MAPK3
Vascular smooth muscle contraction	2/133	0.009293197652452087	0.011432108223254552	0	0	15.150381679389312	70.8806452888945	MAPK1;MAPK3
Spinocerebellar ataxia	2/143	0.01067791156446833	0.013032096791280246	0	0	14.068794326241134	63.866389364261984	MAPK8;KAT5
Phospholipase D signaling pathway	2/148	0.01140256824210524	0.013807797480674315	0	0	13.583561643835617	60.771722802423454	MAPK1;MAPK3
Adrenergic signaling in cardiomyocytes	2/150	0.011698385603882498	0.014056199756603	0	0	13.39864864864865	59.60126813005706	MAPK1;MAPK3
JAK-STAT signaling pathway	2/162	0.013543756308589979	0.016148324829472666	0	0	12.38625	53.28353721602004	CREBBP;PIAS1
cGMP-PKG signaling pathway	2/167	0.014347817139488146	0.016976424859699715	0	0	12.007878787878788	50.963328385132165	MAPK1;MAPK3
Regulation of actin cytoskeleton	2/218	0.023672327606083718	0.02779705135562861	0	0	9.149074074074074	34.24908784394027	MAPK1;MAPK3
Parkinson disease	2/249	0.03027593830373698	0.03528398824871603	0	0	7.988259109311741	27.93815336410991	MAPK8;UBA52
Hedgehog signaling pathway	1/56	0.05985257433019706	0.06923245538194436	0	0	17.24935064935065	48.57194341390608	GSK3B
Inflammatory bowel disease	1/65	0.06914692728645229	0.07939091651407484	0	0	14.816964285714286	39.58384098532174	SMAD2
Adipocytokine signaling pathway	1/69	0.07324953836364095	0.08342200085603656	0	0	13.942577030812325	36.444269724198726	MAPK8
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.07427249108472932	0.08342200085603656	0	0	13.739820565907522	35.72373458022456	MAPK8
RIG-I-like receptor signaling pathway	1/70	0.07427249108472932	0.08342200085603656	0	0	13.739820565907522	35.72373458022456	MAPK8
p53 signaling pathway	1/73	0.07733488642276296	0.08623674385272127	0	0	13.165343915343914	33.69814742858341	CDK6
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.0814030405988153	0.08948561200578986	0	0	12.469924812030076	31.278844284190207	CTNNB1
Bacterial invasion of epithelial cells	1/77	0.0814030405988153	0.08948561200578986	0	0	12.469924812030076	31.278844284190207	CTNNB1
Small cell lung cancer	1/92	0.0965066591594856	0.10534177584310049	0	0	10.406593406593407	24.332106297541305	CDK6
Rheumatoid arthritis	1/93	0.09750509294280582	0.10568733850443988	0	0	10.29296066252588	23.960475343992155	FOS
Inflammatory mediator regulation of TRP channels	1/98	0.10248148436734027	0.11030993108984542	0	0	9.759941089837998	22.233859615850243	MAPK8
Longevity regulating pathway	1/102	0.10644372781945091	0.11378467456561993	0	0	9.371522866572372	20.9935120892893	HDAC2
NF-kappa B signaling pathway	1/104	0.10841858279105103	0.1151019200863898	0	0	9.188626907073509	20.414884910795575	UBE2I
Glucagon signaling pathway	1/107	0.11137305541261804	0.11743417407452923	0	0	8.92722371967655	19.594094214759313	CREBBP
Leukocyte transendothelial migration	1/114	0.1182305252425444	0.12382250954455665	0	0	8.37126000842815	17.873635934356088	CTNNB1
Ribosome	1/158	0.16019177944615487	0.16649368729685754	0	0	6.0118289353958145	11.009964677714818	UBA52
Necroptosis	1/159	0.16112292319050728	0.16649368729685754	0	0	5.973477998794454	10.905108004046104	MAPK8
Tight junction	1/169	0.17038031999161385	0.1748937059516566	0	0	5.615079365079365	9.937130406480772	MAPK8
Protein processing in endoplasmic reticulum	1/171	0.17222006006501586	0.175619140197878	0	0	5.548459383753501	9.759641298689061	MAPK8
RNA transport	1/186	0.18589450807538002	0.18832450164499281	0	0	5.094723294723295	8.572258770685147	UBE2I
Transcriptional misregulation in cancer	1/192	0.19130368376837711	0.1925459154811588	0	0	4.933183744702069	8.158958784415127	HDAC2
Endocytosis	1/252	0.24354183787196806	0.24354183787196806	0	0	3.7425535951432365	5.286231699012547	SMAD2
