Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Malignant neoplasm of urinary bladder	14/1144	7.714263006272214E-13	8.464260798548679E-11	0	0	29.18938053097345	814.107446772166	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;JUND;XRCC5;FOS;HIF1A;CDK6;KAT5;CTNNB1;MAPK3
Malignant neoplasm of prostate	19/3239	8.510189295973684E-13	8.846117820814751E-11	0	0	32.96086956521739	916.0597603201306	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;JUND;XRCC5;FOS;HIF1A;PIAS1;NCOR2;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Carcinoma of bladder	14/1162	9.542856784431883E-13	9.423571074626484E-11	0	0	28.704268292682926	794.4713791484037	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;JUND;XRCC5;FOS;HIF1A;MAPK8;CDK6;KAT5;CTNNB1;MAPK3
Malignant neoplasm of pancreas	16/1846	1.1363152649992762E-12	1.0686774516064622E-10	0	0	26.445173041894353	727.3276848152274	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;FOS;HIF1A;MAPK8;CDK6;CTNNB1;MAPK1;PGR;MAPK3
Pancreatic carcinoma	16/1869	1.3765965407715757E-12	1.2358082581926644E-10	0	0	26.083828026623493	712.3860417314371	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;FOS;HIF1A;MAPK8;CDK6;CTNNB1;MAPK1;PGR;MAPK3
Tumor Angiogenesis	11/511	1.4892933413366294E-12	1.278849717017323E-10	0	0	38.956	1060.8778160126606	SMAD2;SMAD4;HDAC2;CREBBP;MAPK8;JUND;CDK6;MAPK1;FOS;HIF1A;MAPK3
Squamous cell carcinoma of the head and neck	13/934	1.5565074870450038E-12	1.2808759528807845E-10	0	0	29.887923754373265	812.610104257134	SMAD2;XRCC6;SMAD4;CREBBP;JUND;XRCC5;FOS;HIF1A;NCOR2;MAPK8;CTNNB1;MAPK1;MAPK3
Carcinogenesis	20/4065	2.098304065207307E-12	1.636149030703867E-10	0	0	39.389369592089	1059.1758818902406	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;PIAS1;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Prostatic Neoplasms	15/1554	2.1539177113063562E-12	1.636149030703867E-10	0	0	25.673906989696462	689.6969757797744	SMAD2;GSK3B;SMAD4;HDAC2;CREBBP;JUND;FOS;HIF1A;NCOR2;MAPK8;CDK6;CTNNB1;MAPK1;PGR;MAPK3
Breast Carcinoma	21/4963	3.165656305547461E-12	2.3156189642430502E-10	0	0	63.892351274787536	1691.7838918999983	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;PIAS1;NCOR2;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Adenoma	13/1000	3.694435722416196E-12	2.5560484488032976E-10	0	0	27.792750197005518	731.6217281637098	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;HDAC3;XRCC5;FOS;HIF1A;CTNNB1;MAPK1;PGR;MAPK3
Colorectal Carcinoma	18/2931	3.753185064065602E-12	2.5560484488032976E-10	0	0	26.361997940267766	693.5424159438371	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;JUND;UBE2I;XRCC5;FOS;HIF1A;MAPK8;KAT5;CTNNB1;MAPK1;PGR;UBA52;MAPK3
Malignant neoplasm of breast	21/5054	4.61350444920449E-12	3.037223762392956E-10	0	0	62.357440890125176	1627.6560025768035	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;PIAS1;NCOR2;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Central neuroblastoma	15/1655	5.36675228798664E-12	3.4191405705721336E-10	0	0	23.96080139372822	621.8019211625714	GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;FOS;HIF1A;NCOR2;MAPK8;CDK6;CTNNB1;MAPK1;MAPK3
Neuroblastoma	15/1698	7.778139042021812E-12	4.800570189997837E-10	0	0	23.293862999745354	595.8501206440092	GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;FOS;HIF1A;NCOR2;MAPK8;CDK6;CTNNB1;MAPK1;MAPK3
Ovarian Carcinoma	16/2203	1.739217668644703E-11	1.0408954229009965E-9	0	0	21.693034598384394	537.4449457664612	SMAD2;GSK3B;SMAD4;HDAC2;HDAC3;JUND;UBE2I;FOS;HIF1A;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Primary malignant neoplasm of lung	16/2268	2.717739198145706E-11	1.5786867400993438E-9	0	0	20.989934872705742	510.65647815849366	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;HDAC3;UBE2I;XRCC5;HIF1A;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Squamous cell carcinoma	15/1876	3.27533213648745E-11	1.8482231341607755E-9	0	0	20.860904275735013	503.62430030450895	SMAD2;GSK3B;SMAD4;HDAC2;CREBBP;JUND;XRCC5;FOS;HIF1A;MAPK8;CDK6;CTNNB1;MAPK1;PGR;MAPK3
Malignant neoplasm of mouth	10/492	3.676868371933833E-11	2.0171708429359225E-9	0	0	33.706777316735824	809.851659008924	XRCC6;SMAD4;MAPK8;JUND;XRCC5;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Malignant neoplasm of thyroid	10/505	4.749348208064407E-11	2.5351250570073524E-9	0	0	32.7996632996633	779.6620556726663	GSK3B;SMAD4;CREBBP;JUND;KAT5;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Glioblastoma	15/1937	5.187498535234765E-11	2.696134107128595E-9	0	0	20.13081611416679	476.74169973561413	SMAD2;GSK3B;XRCC6;CREBBP;JUND;FOS;HIF1A;NCOR2;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
leukemia	15/1941	5.343431885173038E-11	2.705968711081218E-9	0	0	20.084557187360925	475.0513526408658	SMAD2;GSK3B;SMAD4;HDAC2;CREBBP;JUND;FOS;HIF1A;PIAS1;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;MAPK3
Thyroid carcinoma	11/721	6.084453687309401E-11	3.0041990081090167E-9	0	0	27.138028169014085	638.3596702647445	GSK3B;SMAD4;CREBBP;MAPK8;JUND;KAT5;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Malignant neoplasm of ovary	15/2026	9.878802293102278E-11	4.758691348506586E-9	0	0	19.145059316615757	441.0647331611508	SMAD2;GSK3B;SMAD4;HDAC2;CREBBP;HDAC3;JUND;FOS;HIF1A;MAPK8;CDK6;CTNNB1;MAPK1;PGR;MAPK3
Carcinoma of lung	16/2476	1.0404870503319014E-10	4.8927664866797745E-9	0	0	18.98970189701897	436.5003643034445	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;HDAC3;UBE2I;XRCC5;HIF1A;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Liver carcinoma	18/3593	1.277157914058206E-10	5.866016000616179E-9	0	0	20.647132867132868	470.36674614564953	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;HDAC3;JUND;UBE2I;XRCC5;FOS;HIF1A;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;MAPK3
Epithelial ovarian cancer	13/1329	1.3148651461243932E-10	5.901951508171992E-9	0	0	20.483451536643027	466.0418822394352	SMAD2;SMAD4;HDAC3;UBE2I;FOS;HIF1A;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)	8/249	1.4187167365844332E-10	6.2265901216761225E-9	0	0	46.797866034380554	1061.1930045081135	GSK3B;XRCC6;SMAD4;MAPK8;KAT5;XRCC5;MAPK1;HIF1A
Trigeminal Neuralgia	5/33	2.298292352612048E-10	9.867668253062597E-9	0	0	209.55882352941177	4650.8824215971745	MAPK8;CTNNB1;MAPK1;FOS;MAPK3
Stomach Neoplasms	11/835	2.9123419900462506E-10	1.22380328305135E-8	0	0	23.24514563106796	510.39118387211636	GSK3B;XRCC6;SMAD4;HDAC2;MAPK8;HDAC3;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Glioblastoma Multiforme	11/854	3.6987545690694045E-10	1.5218833903983487E-8	0	0	22.698695136417555	492.96696443913316	SMAD2;XRCC6;CREBBP;MAPK8;JUND;CDK6;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Fanconi Anemia	8/290	4.757035818888515E-10	1.9136815825023698E-8	0	0	39.91084093211753	856.7351385944459	GSK3B;XRCC6;SMAD4;MAPK8;KAT5;XRCC5;MAPK1;HIF1A
Myeloid Leukemia, Chronic	11/876	4.844763500006E-10	1.9136815825023698E-8	0	0	22.095953757225434	473.912966605014	GSK3B;XRCC6;CREBBP;MAPK8;CDK6;XRCC5;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Secondary Trigeminal Neuralgia	4/13	7.795335079871747E-10	2.960728227451289E-8	0	0	493.0617283950617	10340.651030817968	MAPK8;MAPK1;FOS;MAPK3
Trigeminal Neuralgia, Idiopathic	4/13	7.795335079871747E-10	2.960728227451289E-8	0	0	493.0617283950617	10340.651030817968	MAPK8;MAPK1;FOS;MAPK3
Acute Promyelocytic Leukemia	9/475	8.427379663330592E-10	3.140391478316588E-8	0	0	28.9877847474414	605.6813562419122	SMAD2;NCOR2;GSK3B;MAPK8;UBE2I;MAPK1;HIF1A;PIAS1;MAPK3
Agenesis of corpus callosum	8/317	9.613514920202069E-10	3.516054068036868E-8	0	0	36.373555247341656	755.212525065919	SMAD4;CREBBP;MAPK8;JUND;CDK6;CTNNB1;PGR;FOS
Obesity	14/1961	1.0866558045471323E-9	3.902082207237429E-8	0	0	16.206599897277865	334.5068299447533	SMAD2;CREBBP;JUND;UBE2I;FOS;HIF1A;PIAS1;NCOR2;MAPK8;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Aplasia Cutis Congenita	7/199	1.3052475476991784E-9	4.603328404831924E-8	0	0	48.09097222222222	983.7909170846635	SMAD4;CREBBP;MAPK8;JUND;CTNNB1;PGR;FOS
Myeloid Leukemia	9/501	1.3458124018295052E-9	4.663121918619776E-8	0	0	27.419324577861165	560.0744719323743	SMAD2;XRCC6;HDAC2;MAPK8;JUND;XRCC5;MAPK1;FOS;HIF1A
Tumor Promotion	6/108	1.4983281681743103E-9	5.1020657450763145E-8	0	0	73.07352941176471	1484.7748989967454	JUND;KAT5;MAPK1;FOS;HIF1A;MAPK3
Pneumonitis	8/339	1.6312398452408854E-9	5.4605062616114387E-8	0	0	33.91799741044454	686.2942316951512	CREBBP;MAPK8;JUND;MAPK1;FOS;HIF1A;PIAS1;MAPK3
Neurodegenerative Disorders	10/745	2.0871090972453955E-9	6.870067445099426E-8	0	0	21.817460317460316	436.07618124451125	GSK3B;CREBBP;MAPK8;JUND;CDK6;KAT5;CTNNB1;MAPK1;FOS;HIF1A
Endometriosis	10/749	2.197680062212427E-9	7.115439545687775E-8	0	0	21.69485791610284	432.50572715537714	SMAD2;HDAC2;MAPK8;CDK6;CTNNB1;MAPK1;PGR;FOS;HIF1A;MAPK3
Adenocarcinoma	13/1712	3.018695144891212E-9	9.616004695419587E-8	0	0	15.540317834020012	304.87681119226914	SMAD2;GSK3B;XRCC6;SMAD4;UBE2I;XRCC5;FOS;HIF1A;CDK6;CTNNB1;MAPK1;PGR;MAPK3
Gallbladder Carcinoma	7/233	3.9109467601501015E-9	1.2260507700470555E-7	0	0	40.7858407079646	789.5929266269096	SMAD4;MAPK8;CTNNB1;MAPK1;PGR;HIF1A;MAPK3
Malignant neoplasm of endometrium	9/577	4.6286883925908196E-9	1.4283843086510733E-7	0	0	23.657908992416036	454.018749154219	SMAD2;SMAD4;CREBBP;CTNNB1;MAPK1;PGR;FOS;HIF1A;MAPK3
Uterine Corpus Cancer	9/579	4.770427983689172E-9	1.4494761950440174E-7	0	0	23.57246963562753	451.6680789374396	SMAD2;SMAD4;CREBBP;CTNNB1;MAPK1;PGR;FOS;HIF1A;MAPK3
Cervix carcinoma	11/1105	5.5984709730060934E-9	1.6649034025705101E-7	0	0	17.26142595978062	327.9804245289295	SMAD2;XRCC6;SMAD4;MAPK8;JUND;CTNNB1;MAPK1;PGR;FOS;HIF1A;MAPK3
Cholestasis, Extrahepatic	5/61	5.648026732770844E-9	1.6649034025705101E-7	0	0	104.63235294117646	1987.1734202913035	SMAD4;MAPK8;MAPK1;FOS;MAPK3
Hepatitis B	10/839	6.539596912687445E-9	1.8993682209643682E-7	0	0	19.24909529553679	362.7567139110843	GSK3B;SMAD4;CREBBP;MAPK8;HDAC3;KAT5;XRCC5;CTNNB1;MAPK1;HIF1A
Colorectal Cancer	16/3298	7.911027298919154E-9	2.2643882486036708E-7	0	0	13.565711964249441	253.0684677984054	SMAD2;GSK3B;XRCC6;SMAD4;HDAC2;CREBBP;JUND;UBE2I;FOS;HIF1A;MAPK8;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Neoplasm Metastasis	17/3920	8.6006503715447E-9	2.4266120691143976E-7	0	0	14.00333077120164	260.06184934486924	SMAD2;GSK3B;SMAD4;HDAC2;HDAC3;JUND;UBE2I;FOS;HIF1A;NCOR2;MAPK8;CDK6;KAT5;CTNNB1;MAPK1;PGR;MAPK3
Malignant neoplasm of gastrointestinal tract	7/263	9.044944722339184E-9	2.516023355861956E-7	0	0	35.9515625	665.8610400273396	SMAD2;GSK3B;SMAD4;MAPK8;MAPK1;HIF1A;MAPK3
Adenocarcinoma of colon	7/267	1.0038588644508116E-8	2.7536406351254903E-7	0	0	35.391282051282055	651.7952004526047	GSK3B;SMAD4;JUND;MAPK1;FOS;HIF1A;MAPK3
Lung Neoplasms	11/1177	1.082407179160201E-8	2.928430381974516E-7	0	0	16.133790737564322	295.9178149339367	SMAD2;SMAD4;CREBBP;MAPK8;JUND;XRCC5;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Meningioma	8/438	1.2128060031094955E-8	3.23688088667737E-7	0	0	25.977408637873754	473.5095559481303	SMAD2;SMAD4;UBE2I;CTNNB1;PGR;FOS;HIF1A;MAPK3
Acute lymphocytic leukemia	10/907	1.377390871412863E-8	3.6271292947205393E-7	0	0	17.726681531029357	320.86161659610434	HDAC2;CREBBP;HDAC3;JUND;CDK6;XRCC5;CTNNB1;MAPK1;FOS;HIF1A
Aortic Aneurysm, Abdominal	7/288	1.6917304882188662E-8	4.3962733082003433E-7	0	0	32.71150652431791	585.3700795842619	CREBBP;MAPK8;JUND;PGR;FOS;HIF1A;MAPK3
Alzheimer's Disease	13/1982	1.8028689632852602E-8	4.6242418214134916E-7	0	0	13.211274758760792	235.5742231508987	SMAD2;GSK3B;HDAC2;CREBBP;HDAC3;JUND;FOS;HIF1A;MAPK8;KAT5;CTNNB1;MAPK1;MAPK3
ovarian neoplasm	10/938	1.897132002620938E-8	4.803635519456863E-7	0	0	17.106681034482758	304.1625617930627	SMAD2;GSK3B;SMAD4;HDAC3;UBE2I;CTNNB1;MAPK1;PGR;HIF1A;MAPK3
MYELODYSPLASTIC SYNDROME	9/683	2.001212905935334E-8	5.003032264838335E-7	0	0	19.828349691851177	351.4957133522722	GSK3B;XRCC6;CREBBP;MAPK8;UBE2I;XRCC5;MAPK1;FOS;MAPK3
Transitional cell carcinoma of bladder	6/167	2.068520672208337E-8	5.106660409514332E-7	0	0	46.15760869565217	816.7056681438405	CREBBP;MAPK8;CTNNB1;MAPK1;HIF1A;MAPK3
Malignant Head and Neck Neoplasm	8/470	2.0984495923277622E-8	5.116590055367075E-7	0	0	24.138528138528137	426.756672796488	XRCC6;SMAD4;MAPK8;JUND;MAPK1;FOS;HIF1A;MAPK3
Lip and Oral Cavity Carcinoma	8/473	2.204680469717811E-8	5.310053570356923E-7	0	0	23.97910906298003	422.754046503666	XRCC6;SMAD4;MAPK8;XRCC5;CTNNB1;MAPK1;HIF1A;MAPK3
Pancreatic Ductal Adenocarcinoma	9/701	2.505307194173977E-8	5.961423745173017E-7	0	0	19.2945753668297	337.69885573036044	SMAD2;SMAD4;HDAC2;CREBBP;CDK6;XRCC5;MAPK1;HIF1A;MAPK3
Degenerative polyarthritis	10/976	2.7670342924819095E-8	6.505824675775919E-7	0	0	16.40096618357488	285.42445065807885	SMAD2;NCOR2;HDAC2;MAPK8;JUND;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Fibroid Tumor	7/310	2.805841154588603E-8	6.519454447426459E-7	0	0	30.302530253025303	526.9300129167202	SMAD2;NCOR2;SMAD4;CTNNB1;MAPK1;PGR;FOS
Lymphoma	11/1307	3.212671727917981E-8	7.345247092354566E-7	0	0	14.415123456790123	248.71245462050177	SMAD2;XRCC6;CREBBP;MAPK8;JUND;CDK6;KAT5;MAPK1;FOS;HIF1A;MAPK3
Pneumonia	8/497	3.2356278330878344E-8	7.345247092354566E-7	0	0	22.77417470055507	392.7738419848456	CREBBP;MAPK8;JUND;MAPK1;FOS;HIF1A;PIAS1;MAPK3
Renal carcinoma	8/500	3.389923626175512E-8	7.608067229200722E-7	0	0	22.631823461091752	389.2644972548209	SMAD4;MAPK8;XRCC5;CTNNB1;MAPK1;HIF1A;UBA52;MAPK3
Liver neoplasms	11/1321	3.586861480777313E-8	7.959608342174374E-7	0	0	14.250381679389314	244.30003835868087	SMAD2;GSK3B;SMAD4;MAPK8;JUND;KAT5;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Squamous cell carcinoma of esophagus	10/1023	4.321046980593244E-8	9.482297540746285E-7	0	0	15.601349128002633	264.55493243573267	SMAD2;SMAD4;CREBBP;MAPK8;CDK6;XRCC5;CTNNB1;MAPK1;HIF1A;MAPK3
Hepatocarcinogenesis	8/527	5.0902137461345086E-8	1.1039254998906875E-6	0	0	21.424717864024224	359.79301971954743	SMAD2;CREBBP;MAPK8;JUND;CTNNB1;MAPK1;FOS;HIF1A
Osteosarcoma of bone	10/1042	5.1423365058199115E-8	1.1039254998906875E-6	0	0	15.298772609819121	256.7619503762481	SMAD2;GSK3B;SMAD4;MAPK8;CDK6;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Retinoblastoma	8/539	6.055806236079908E-8	1.2860448727158944E-6	0	0	20.927629808985742	347.81015949544854	SMAD2;SMAD4;MAPK8;CDK6;CTNNB1;MAPK1;FOS;HIF1A
Colonic Neoplasms	9/778	6.141746750362452E-8	1.2904201948899834E-6	0	0	17.293287986395917	287.1649310831646	GSK3B;SMAD4;HDAC2;MAPK8;HDAC3;CTNNB1;MAPK1;HIF1A;MAPK3
Central Serous Chorioretinopathy	5/98	6.28045273801065E-8	1.2992644500490045E-6	0	0	62.88741302972802	1042.8769798643375	SMAD2;GSK3B;HDAC2;MAPK1;MAPK3
Uterine Fibroids	7/349	6.31541201036478E-8	1.2992644500490045E-6	0	0	26.793762183235867	444.17862304503564	SMAD2;NCOR2;SMAD4;CTNNB1;MAPK1;PGR;FOS
Malignant neoplasm of gallbladder	6/203	6.61638570524418E-8	1.3471506977172427E-6	0	0	37.65418781725889	622.4663299213324	SMAD4;MAPK8;MAPK1;PGR;HIF1A;MAPK3
Systemic Scleroderma	8/562	8.354873828049925E-8	1.6837628377957759E-6	0	0	20.035069623517277	326.5282726293525	SMAD2;GSK3B;SMAD4;JUND;MAPK1;FOS;HIF1A;MAPK3
Osteosarcoma	10/1103	8.793607357522717E-8	1.7379104294753265E-6	0	0	14.398444647758463	233.92657314019038	SMAD2;GSK3B;SMAD4;MAPK8;CDK6;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Carcinoid Tumor	6/213	8.799546478356083E-8	1.7379104294753265E-6	0	0	35.81702898550725	581.8827566279251	SMAD4;JUND;CDK6;CTNNB1;FOS;MAPK3
Papillary thyroid carcinoma	8/571	9.44057120742101E-8	1.846052290560049E-6	0	0	19.705658462319207	318.75211523707065	SMAD4;KAT5;CTNNB1;MAPK1;PGR;FOS;HIF1A;MAPK3
Chronic Lymphocytic Leukemia	10/1120	1.0154143920478293E-7	1.966121004210258E-6	0	0	14.165165165165165	228.09880538488412	GSK3B;XRCC6;MAPK8;JUND;XRCC5;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Endometrial Carcinoma	9/840	1.1836250697727124E-7	2.2598810555833018E-6	0	0	15.951402388225493	254.41711297797676	SMAD2;SMAD4;CREBBP;CTNNB1;MAPK1;PGR;FOS;HIF1A;MAPK3
Mesothelioma	7/383	1.190013315345131E-7	2.2598810555833018E-6	0	0	24.32872340425532	387.9003567797748	XRCC6;HDAC2;CTNNB1;MAPK1;PGR;HIF1A;MAPK3
Medulloblastoma	8/590	1.2138649737555781E-7	2.2677853654361808E-6	0	0	19.043691703485518	303.25719677683577	GSK3B;CREBBP;MAPK8;CDK6;CTNNB1;MAPK1;HIF1A;MAPK3
Pulmonary Emphysema	6/225	1.2171404999303048E-7	2.2677853654361808E-6	0	0	33.83390410958904	538.6895965592896	XRCC6;HDAC2;JUND;FOS;HIF1A;MAPK3
CEROID LIPOFUSCINOSIS, NEURONAL, 6	3/10	1.379143686230442E-7	2.4794815921551454E-6	0	0	450.4736842105263	7115.967403292334	GSK3B;MAPK1;MAPK3
Perihilar Cholangiocarcinoma	3/10	1.379143686230442E-7	2.4794815921551454E-6	0	0	450.4736842105263	7115.967403292334	JUND;FOS;HIF1A
Diabetes Mellitus	11/1507	1.3898034515923216E-7	2.4794815921551454E-6	0	0	12.35427807486631	195.06087268577656	SMAD2;GSK3B;HDAC2;CREBBP;MAPK8;HDAC3;CTNNB1;MAPK1;FOS;HIF1A;MAPK3
Adenomatous Polyposis Coli	7/392	1.393531426477069E-7	2.4794815921551454E-6	0	0	23.74909090909091	374.90919397272734	GSK3B;SMAD4;HDAC2;CTNNB1;FOS;HIF1A;MAPK3
